substance,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
0,2020,Domain Adaptive Multibranch Networks,50,21,3,4,3,5,0,3,15,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,3,8.0,5.67,good,ICLR_2020_507_paper.json,2,0,2,3,2,0,4,10,0,1,0,5,0,1,2,0,2,3,3,40,2,2,12,5,1,47,3,9,8,6,1,0,0,1,1,0,2,3,40,143,10,0.0,0.0,5.0,4.0,1.0,0.0
0,2020,Neural Module Networks for Reasoning over Text,29,13,2,2,0,1,0,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,8.0,6.67,good,ICLR_2020_246_paper.json,0,0,2,0,1,3,0,3,0,0,0,6,0,0,1,0,1,0,1,18,2,0,28,13,1,46,3,20,4,10,4,0,1,1,1,0,3,1,77,215,94,0.0,0.0,26.0,31.0,39.0,8.0
0,2018,Mixed Precision Training,28,13,9,0,4,4,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,8,5,7.0,6.67,good,ICLR_2018_54_paper.json,0,0,1,0,1,1,0,1,0,0,0,5,2,1,1,0,0,0,5,18,0,0,23,8,0,13,0,9,1,3,1,1,0,0,1,1,0,2,33,96,923,51.0,141.0,184.0,234.0,259.0,123.0
0,2020,Plug and Play Language Models: A Simple Approach to Controlled Text Generation,58,29,14,1,1,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,Accept (Poster),Accepted,6,3,6.0,5.0,good,ICLR_2020_353_paper.json,1,0,7,7,4,4,2,8,0,0,0,12,2,0,1,0,5,1,5,59,22,5,81,17,20,73,8,29,4,20,2,2,2,1,26,1,3,2,159,477,417,0.0,2.0,93.0,128.0,209.0,88.0
1,2018,Twin Networks: Matching the Future for Sequence Generation,65,30,18,0,9,4,0,0,3,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,Accept (Poster),Accepted,6,7,8.0,7.0,good,ICLR_2018_133_paper.json,1,0,1,5,2,2,5,8,1,1,1,4,3,0,0,0,0,0,4,38,1,0,12,6,1,27,2,11,0,10,3,0,1,1,0,0,2,0,19,96,52,11.0,13.0,13.0,6.0,8.0,2.0
1,2019,Learning to Describe Scenes with Programs,23,14,0,5,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,4,6.0,5.33,good,ICLR_2019_363_paper.json,0,0,0,2,3,1,2,3,0,0,0,3,1,1,0,0,1,0,3,20,0,1,4,5,2,45,2,13,4,23,0,0,0,0,0,0,2,1,25,127,44,0.0,10.0,16.0,12.0,8.0,4.0
0,2017,Neural Photo Editing with Introspective Adversarial Networks,30,23,19,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,6,6.0,5.67,good,ICLR_2017_194_paper.json,0,0,0,2,1,1,0,8,2,2,0,3,2,0,1,0,4,0,2,28,2,2,18,11,0,18,3,9,5,9,0,1,1,1,1,0,2,1,22,106,374,70.0,75.0,89.0,65.0,31.0,22.0
0,2018,Matrix capsules with EM routing,24,12,5,0,6,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,6,4.0,5.67,good,ICLR_2018_236_paper.json,0,0,4,0,1,0,1,2,0,1,0,8,1,0,1,0,1,0,2,22,5,0,22,17,2,36,0,21,2,7,1,0,2,1,1,1,2,3,69,192,805,106.0,191.0,185.0,197.0,151.0,36.0
0,2019,Multi-Domain Adversarial Learning,77,20,2,1,9,3,3,3,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,Accept (Poster),Accepted,5,8,6.0,6.33,good,ICLR_2019_356_paper.json,1,0,6,4,2,0,3,2,2,1,0,13,0,0,5,0,2,0,17,58,3,1,30,10,1,10,0,1,4,2,1,3,4,1,3,0,1,1,62,138,44,1.0,7.0,12.0,10.0,12.0,3.0
1,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,43,17,20,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,Accept (Oral),Accepted,7,7,8.0,7.33,good,ICLR_2018_15_paper.json,0,1,2,2,1,4,3,5,0,0,0,7,0,0,0,0,1,0,0,26,3,2,41,3,2,51,4,11,0,14,0,2,3,1,4,1,2,1,65,210,293,65.0,114.0,56.0,39.0,20.0,14.0
1,2020,DeFINE: Deep Factorized Input Token Embeddings for Neural Sequence Modeling,47,16,7,9,5,2,3,0,1,3,4,1,1,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,3.0,5.0,good,ICLR_2020_230_paper.json,0,0,1,2,3,1,6,9,1,4,1,5,3,0,1,1,2,1,1,42,1,0,18,12,0,24,1,8,1,17,2,1,5,1,1,0,2,0,35,129,16,0.0,0.0,8.0,4.0,5.0,1.0
0,2020,"On the ""steerability"" of generative adversarial networks",30,12,11,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,8,8,8.0,8.0,good,ICLR_2020_174_paper.json,0,0,1,2,1,2,1,8,0,0,0,6,0,0,0,0,1,0,3,25,1,1,23,5,2,103,2,17,9,7,1,0,1,3,1,1,11,3,31,222,278,0.0,8.0,61.0,111.0,103.0,31.0
1,2017,Dynamic Coattention Networks For Question Answering,27,18,8,1,3,0,0,1,0,4,3,1,0,0,0,0,0,0,1,0,0,0,0,1,Accept (Poster),Accepted,8,8,8.0,8.0,good,ICLR_2017_87_paper.json,0,0,4,3,0,1,1,4,0,1,0,8,1,0,5,1,3,0,1,33,4,0,30,9,1,24,1,3,0,5,0,0,3,2,1,0,0,0,52,135,649,123.0,141.0,94.0,77.0,68.0,7.0
1,2020,Adaptive Structural Fingerprints for Graph Attention Networks,32,5,2,4,3,5,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_187_paper.json,0,0,1,0,3,2,4,2,0,0,0,8,0,0,0,0,0,0,4,24,2,0,11,3,1,25,3,9,2,10,1,1,0,0,0,0,0,1,53,122,46,0.0,0.0,13.0,25.0,12.0,9.0
1,2018,Deep Sensing: Active Sensing using Multi-directional Recurrent Neural Networks,38,9,6,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,Accept (Poster),Accepted,8,6,7.0,7.0,good,ICLR_2018_325_paper.json,1,2,2,0,0,2,0,6,0,0,0,8,0,0,1,0,0,0,3,25,5,2,24,13,2,84,2,21,2,3,1,3,5,2,0,0,2,1,43,215,24,3.0,8.0,7.0,4.0,2.0,2.0
1,2020,Model-Augmented Actor-Critic: Backpropagating through Paths,40,18,10,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,3,8,6.0,5.67,good,ICLR_2020_293_paper.json,0,0,7,5,2,3,0,4,2,1,0,3,0,0,0,1,3,0,6,37,2,0,16,5,0,50,0,14,3,5,1,1,2,0,0,0,3,3,30,135,51,0.0,1.0,9.0,17.0,26.0,6.0
0,2019,Kernel RNN Learning (KeRNL),21,2,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,Accept (Poster),Accepted,7,5,6.0,6.0,good,ICLR_2019_471_paper.json,1,0,1,2,0,2,0,6,0,1,0,2,0,0,0,0,0,0,1,16,1,0,18,9,2,22,1,8,1,4,2,0,0,1,1,3,1,0,52,126,17,0.0,5.0,1.0,8.0,3.0,0.0
0,2020,Minimizing FLOPs to Learn Efficient Sparse Representations,86,11,9,0,14,5,1,1,5,1,1,0,2,0,1,0,2,2,0,2,1,0,0,2,Accept (Poster),Accepted,8,3,8.0,6.33,good,ICLR_2020_179_paper.json,3,0,6,1,5,3,2,7,0,2,0,7,1,0,1,0,0,1,7,46,2,0,34,13,0,37,4,17,0,15,1,1,2,0,2,0,1,4,49,182,21,0.0,0.0,0.0,7.0,15.0,7.0
1,2018,Stochastic Variational Video Prediction,42,30,8,5,9,2,1,2,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,7,7,7.0,7.0,good,ICLR_2018_126_paper.json,1,0,7,1,1,1,1,6,0,0,2,4,2,0,3,0,1,0,7,37,0,2,31,7,0,37,0,9,2,15,3,1,0,0,0,1,0,4,35,147,413,62.0,82.0,95.0,86.0,94.0,26.0
1,2020,Progressive Memory Banks for Incremental Domain Adaptation,41,14,7,0,5,2,1,0,1,5,5,2,0,0,0,0,0,0,1,0,0,0,1,0,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_82_paper.json,2,0,8,2,2,2,5,1,0,2,0,7,0,1,0,0,4,3,3,42,4,1,21,11,0,64,3,16,3,23,0,2,1,4,1,1,1,3,49,208,18,0.0,1.0,5.0,8.0,4.0,1.0
0,2018,Ensemble Adversarial Training: Attacks and Defenses,49,35,18,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2018_159_paper.json,1,1,8,3,1,11,3,6,3,5,0,3,9,0,5,0,2,1,4,66,1,2,50,12,0,69,6,12,5,18,2,2,1,2,2,1,4,1,43,233,1935,0.0,0.0,230.0,349.0,319.0,102.0
1,2020,DeepV2D: Video to Depth with Differentiable Structure from Motion,58,14,4,0,1,0,0,6,20,0,0,0,7,1,0,0,0,0,0,5,0,0,0,0,Accept (Poster),Accepted,8,6,6.0,6.67,good,ICLR_2020_217_paper.json,3,0,3,7,3,1,1,14,0,2,0,5,0,1,0,0,3,1,6,50,2,2,9,9,2,50,3,22,3,12,0,1,1,3,0,2,4,4,39,168,102,0.0,8.0,16.0,36.0,44.0,20.0
1,2020,Poly-encoders: Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring,29,17,1,2,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,8,8,6.0,7.33,good,ICLR_2020_34_paper.json,0,0,3,2,2,2,3,6,0,1,0,0,0,0,0,0,2,0,5,26,3,0,17,12,0,31,1,12,5,11,0,0,2,1,2,2,5,1,30,135,149,0.0,0.0,32.0,55.0,74.0,29.0
0,2019,Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision,33,12,10,1,11,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,5,7,7.0,6.33,good,ICLR_2019_221_paper.json,1,0,2,4,4,3,1,5,1,0,0,4,0,0,2,0,0,2,3,32,0,2,15,15,0,50,1,22,0,11,0,1,2,0,4,0,2,1,42,168,24,0.0,0.0,14.0,4.0,6.0,3.0
0,2020,Contrastive Representation Distillation,41,16,14,0,4,1,1,0,13,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,6,6.0,5.0,good,ICLR_2020_367_paper.json,1,0,1,0,0,3,4,5,0,0,0,7,0,0,2,0,4,0,2,29,0,0,21,6,0,44,3,21,4,13,0,0,1,2,3,3,0,0,35,156,514,1.0,5.0,90.0,206.0,238.0,89.0
0,2017,Variational Recurrent Adversarial Deep Domain Adaptation,29,8,3,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,Accept (Poster),Accepted,6,5,6.0,5.67,good,ICLR_2017_41_paper.json,3,0,1,1,1,1,3,3,0,0,0,3,1,1,0,0,0,1,1,20,4,1,17,4,2,42,1,16,1,9,1,0,3,3,2,0,4,1,26,137,76,7.0,10.0,19.0,18.0,15.0,8.0
0,2020,Intensity-Free Learning of Temporal Point Processes,52,21,3,4,8,5,2,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,Accept (Spotlight),Accepted,8,6,8.0,7.33,good,ICLR_2020_542_paper.json,0,0,7,3,2,12,5,8,0,1,0,2,0,0,0,0,0,1,5,46,2,4,40,10,0,97,2,21,0,8,1,2,0,4,0,0,6,0,69,266,66,0.0,2.0,13.0,28.0,25.0,12.0
0,2020,To Relieve Your Headache of Training an MRF Take AdVIL,50,1,13,0,6,4,0,0,1,0,0,0,0,0,0,0,4,0,1,2,0,0,0,2,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_27_paper.json,2,0,12,8,3,6,4,5,0,2,1,6,1,1,0,0,1,0,8,60,3,2,32,13,0,48,1,12,1,7,1,3,2,3,6,1,4,0,79,218,9,0.0,1.0,6.0,1.0,1.0,0.0
0,2019,Optimal Control Via Neural Networks: A Convex Approach,34,7,3,0,2,4,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,Accept (Poster),Accepted,6,8,7.0,7.0,good,ICLR_2019_144_paper.json,0,0,10,2,2,1,3,3,0,5,0,1,1,1,0,0,1,1,6,37,3,3,23,8,3,52,3,23,4,10,0,1,2,0,3,0,2,2,72,214,106,0.0,9.0,32.0,40.0,29.0,8.0
1,2019,Predicting the Generalization Gap in Deep Networks with Margin Distributions,31,14,13,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,5,9.0,6.67,good,ICLR_2019_199_paper.json,0,0,1,2,2,3,2,6,1,2,0,5,0,1,2,0,0,0,6,33,0,4,21,3,0,34,2,20,5,8,0,0,3,0,0,3,1,0,60,164,148,3.0,22.0,39.0,45.0,39.0,13.0
0,2017,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,24,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,Accept (Poster),Accepted,8,7,4.0,6.33,good,ICLR_2017_27_paper.json,0,1,4,2,2,0,1,3,0,0,1,0,0,0,0,0,1,0,5,20,1,2,17,3,0,26,0,1,0,3,1,0,1,0,0,1,2,0,25,83,53,8.0,9.0,12.0,6.0,10.0,6.0
0,2020,Conservative Uncertainty Estimation By Fitting  Prior Networks,51,19,5,5,12,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_522_paper.json,2,0,16,3,1,2,5,5,0,0,0,2,0,0,1,0,0,1,3,41,4,2,25,6,0,92,1,14,2,8,0,0,0,0,2,0,5,1,79,241,27,0.0,1.0,3.0,18.0,6.0,6.0
0,2020,Bayesian Meta Sampling for Fast Uncertainty Adaptation,57,24,6,9,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,3.0,5.0,good,ICLR_2020_270_paper.json,2,0,1,7,4,4,16,10,1,0,0,9,0,0,2,0,1,1,4,62,6,4,19,25,3,47,4,22,1,17,0,0,1,0,4,1,2,2,70,228,9,0.0,0.0,1.0,5.0,3.0,3.0
0,2017,Transfer of View-manifold Learning to Similarity Perception of Novel Objects,35,16,3,0,1,1,0,2,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,Accept (Poster),Accepted,5,6,7.0,6.0,good,ICLR_2017_31_paper.json,0,0,3,1,2,2,0,7,0,0,0,1,0,0,1,0,1,0,2,20,3,3,20,11,2,42,2,12,2,9,2,2,3,3,2,0,5,2,30,155,10,2.0,5.0,2.0,0.0,0.0,0.0
0,2019,Neural Persistence: A Complexity Measure for Deep Neural Networks Using Algebraic Topology,42,16,5,6,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,Accept (Poster),Accepted,7,6,4.0,5.67,good,ICLR_2019_141_paper.json,0,0,5,3,0,2,0,4,0,0,0,2,0,0,2,0,1,0,5,24,3,3,31,9,3,60,6,12,3,16,1,0,1,0,2,0,1,2,50,203,63,1.0,11.0,19.0,18.0,17.0,10.0
0,2019,Generating Multiple Objects at Spatially Distinct Locations,29,18,3,2,8,2,0,2,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,7,8.0,7.0,good,ICLR_2019_148_paper.json,0,0,2,0,0,0,1,9,1,1,1,8,0,0,0,0,2,1,2,28,0,2,17,15,2,54,1,27,6,16,0,5,1,1,4,0,5,2,42,200,85,1.0,14.0,26.0,25.0,20.0,8.0
0,2020,Why Not to Use Zero Imputation? Correcting Sparsity Bias in Training Neural Networks,58,16,3,4,12,8,2,1,1,0,0,0,0,0,0,1,2,2,0,1,1,0,0,4,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_400_paper.json,3,0,6,0,1,6,4,10,2,0,0,3,3,1,4,0,0,1,6,50,1,3,52,3,1,55,5,34,1,17,0,2,3,1,4,2,3,13,63,263,13,0.0,1.0,4.0,4.0,4.0,2.0
0,2019,Building Dynamic Knowledge Graphs from Text using Machine Reading Comprehension,26,15,8,7,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,7,6,7.0,6.67,good,ICLR_2019_299_paper.json,0,1,0,2,0,4,1,2,1,1,0,8,3,0,2,0,1,1,3,30,3,1,8,10,0,30,1,9,5,10,3,1,1,1,3,1,3,2,42,134,63,2.0,22.0,22.0,10.0,7.0,1.0
0,2020,Distance-Based Learning from Errors for Confidence Calibration,31,5,8,0,5,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_23_paper.json,0,0,5,3,1,1,0,5,0,0,0,1,0,1,2,0,0,0,1,20,1,1,29,14,1,37,1,8,2,4,0,0,1,1,0,0,0,1,45,146,23,0.0,0.0,6.0,10.0,7.0,4.0
0,2019,Auxiliary Variational MCMC,22,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,7.0,7.0,good,ICLR_2019_393_paper.json,2,0,6,2,1,3,2,3,0,0,1,2,0,0,0,0,0,1,0,23,1,0,28,9,1,35,0,17,0,12,1,2,0,1,0,0,2,2,35,146,18,1.0,3.0,5.0,5.0,4.0,1.0
0,2018,Automatically Inferring Data Quality for Spatiotemporal Forecasting,30,6,4,3,3,2,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,1,Accept (Poster),Accepted,6,6,8.0,6.67,good,ICLR_2018_128_paper.json,3,0,3,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,4,18,3,1,16,7,3,41,2,8,0,3,1,1,0,1,1,1,2,1,68,160,5,0.0,0.0,2.0,0.0,4.0,1.0
1,2020,Biologically inspired sleep algorithm for increased generalization and adversarial robustness in deep neural networks,41,8,11,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,Accept (Poster),Accepted,8,6,,7.0,good,ICLR_2020_286_paper.json,3,1,13,6,0,1,2,1,0,0,0,2,0,2,3,0,0,0,4,38,3,0,31,16,2,62,0,15,1,9,0,0,2,2,2,0,5,1,65,216,15,0.0,2.0,1.0,7.0,6.0,1.0
0,2018,Neural Language Modeling by Jointly Learning Syntax and Lexicon,57,22,22,0,4,1,1,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,7,8,7.0,7.33,good,ICLR_2018_244_paper.json,5,0,5,2,2,0,2,3,0,1,0,3,0,1,2,0,1,0,4,31,5,2,16,14,1,44,0,18,2,7,0,1,1,0,0,0,1,2,70,184,142,12.0,37.0,43.0,33.0,18.0,5.0
0,2020,Composing Task-Agnostic Policies with Deep Reinforcement Learning,34,7,9,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_261_paper.json,1,0,4,8,4,0,1,7,0,1,0,5,0,0,0,0,2,0,3,36,7,2,10,26,3,25,4,19,2,15,3,0,1,2,3,0,4,3,71,200,20,0.0,1.0,4.0,7.0,10.0,3.0
0,2019,Directed-Info GAIL: Learning Hierarchical Policies from Unsegmented Demonstrations using Directed Information,27,8,5,0,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,8.0,6.67,good,ICLR_2019_52_paper.json,0,0,0,2,0,3,0,6,0,2,0,12,0,0,0,0,2,0,2,29,1,2,13,10,0,48,2,12,6,23,0,3,0,3,1,0,7,3,37,171,40,1.0,9.0,9.0,11.0,12.0,8.0
0,2019,Unsupervised Hyper-alignment for Multilingual Word Embeddings,40,15,9,0,5,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,1,Accept (Poster),Accepted,5,6,7.0,6.0,good,ICLR_2019_186_paper.json,1,1,2,4,1,0,1,5,0,1,0,4,3,0,1,0,1,0,7,32,1,1,15,9,0,32,2,12,4,15,0,0,0,2,0,0,0,1,24,118,54,0.0,18.0,17.0,8.0,11.0,0.0
0,2020,Learning The Difference That Makes A Difference With Counterfactually-Augmented Data,34,18,5,1,1,1,1,0,0,5,8,3,0,0,0,0,1,0,0,0,0,0,0,1,Accept (Spotlight),Accepted,8,8,1.0,5.67,good,ICLR_2020_580_paper.json,0,0,4,0,1,4,1,4,1,1,0,4,0,0,3,0,0,0,2,25,0,0,17,3,0,34,2,13,3,9,1,1,2,1,0,1,0,1,16,104,324,2.0,6.0,91.0,118.0,113.0,42.0
0,2020,Drawing Early-Bird Tickets: Toward More Efficient Training of Deep Networks,41,25,7,6,7,3,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,Accept (Spotlight),Accepted,8,6,6.0,6.67,good,ICLR_2020_624_paper.json,0,0,4,2,1,4,4,8,0,1,0,2,2,0,5,1,1,0,2,37,1,0,18,2,1,27,1,1,2,5,1,1,6,0,0,1,2,0,17,86,159,0.0,1.0,34.0,65.0,60.0,19.0
