replicability,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
0,2020,Adaptive Structural Fingerprints for Graph Attention Networks,32,5,2,4,3,5,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_187_paper.json,0,0,1,0,3,2,4,2,0,0,0,8,0,0,0,0,0,0,4,24,2,0,11,3,1,25,3,9,2,10,1,1,0,0,0,0,0,1,53,122,46,0,0,13,25,12,9
0,2019,DARTS: Differentiable Architecture Search,49,35,14,3,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,7,8.0,7.0,good,ICLR_2019_286_paper.json,0,0,5,2,2,2,1,6,1,3,0,3,2,0,0,1,0,1,14,43,1,1,12,7,1,29,1,8,1,8,2,0,4,1,1,1,3,0,40,121,2631,0,3,10,132,600,254
0,2020,Your classifier is secretly an energy based model and you should treat it like one,49,20,27,0,5,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Accept (Talk),Accepted,6,8,8.0,7.33,good,ICLR_2020_654_paper.json,0,2,3,5,3,3,4,5,0,2,0,3,2,1,3,0,3,0,5,44,5,0,43,12,0,53,1,24,4,24,7,0,2,2,0,3,4,2,36,222,284,0,4,81,106,105,56
0,2020,Model-Augmented Actor-Critic: Backpropagating through Paths,40,18,10,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,3,8,6.0,5.67,good,ICLR_2020_293_paper.json,0,0,7,5,2,3,0,4,2,1,0,3,0,0,0,1,3,0,6,37,2,0,16,5,0,50,0,14,3,5,1,1,2,0,0,0,3,3,30,135,51,0,1,9,17,26,6
0,2019,Top-Down Neural Model For Formulae,10,3,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2019_121_paper.json,0,1,3,1,0,0,0,4,0,0,0,2,0,0,2,0,1,0,0,14,3,1,17,2,2,32,1,8,5,18,2,0,0,1,0,0,6,3,31,132,11,1,5,3,1,2,1
0,2020,Toward Evaluating Robustness of Deep Reinforcement Learning with Continuous Control,18,7,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,3.0,5.0,good,ICLR_2020_433_paper.json,0,0,5,2,1,2,0,6,0,5,0,5,3,0,0,1,0,2,2,34,1,0,12,4,1,32,0,9,1,28,3,2,1,0,2,0,3,1,18,118,9,0,0,1,4,4,6
1,2020,NAS-Bench-201: Extending the Scope of Reproducible Neural Architecture Search,38,23,3,11,4,3,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Accept (Spotlight),Accepted,8,8,8.0,8.0,good,ICLR_2020_589_paper.json,0,0,6,4,3,4,5,5,0,1,0,3,0,1,1,0,0,0,4,37,3,0,26,9,0,29,2,15,2,8,10,1,1,3,3,0,6,2,39,159,341,1,5,79,125,149,44
0,2020,To Relieve Your Headache of Training an MRF Take AdVIL,50,1,13,0,6,4,0,0,1,0,0,0,0,0,0,0,4,0,1,2,0,0,0,2,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_27_paper.json,2,0,12,8,3,6,4,5,0,2,1,6,1,1,0,0,1,0,8,60,3,2,32,13,0,48,1,12,1,7,1,3,2,3,6,1,4,0,79,218,9,0,1,6,1,1,0
0,2017,Autoencoding Variational Inference For Topic Models,33,5,1,2,7,0,0,0,1,0,2,1,0,0,0,0,2,0,2,0,1,0,0,1,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2017_65_paper.json,1,1,11,1,2,0,3,8,0,0,0,1,0,0,0,0,1,0,1,30,3,0,27,7,1,35,0,8,2,10,0,0,0,1,0,2,2,4,30,132,347,37,64,77,93,80,37
0,2020,Measuring the Reliability of Reinforcement Learning Algorithms,33,9,8,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Accept (Spotlight),Accepted,8,8,6.0,7.33,good,ICLR_2020_600_paper.json,1,0,1,3,1,1,0,8,0,0,0,0,0,0,2,0,0,2,3,22,3,4,24,6,0,57,5,16,2,1,1,0,0,0,2,1,1,0,40,163,45,0,2,9,16,22,6
0,2020,Conservative Uncertainty Estimation By Fitting  Prior Networks,51,19,5,5,12,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_522_paper.json,2,0,16,3,1,2,5,5,0,0,0,2,0,0,1,0,0,1,3,41,4,2,25,6,0,92,1,14,2,8,0,0,0,0,2,0,5,1,79,241,27,0,1,3,18,6,6
0,2019,Learning to Navigate the Web,15,6,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,7,7.0,7.33,good,ICLR_2019_54_paper.json,0,0,0,1,0,0,2,2,3,1,0,2,0,0,2,0,1,1,3,18,2,0,14,29,1,54,2,18,3,8,2,1,2,2,1,0,2,2,40,183,21,0,3,2,8,8,8
0,2019,Learning Robust Representations by Projecting Superficial Statistics Out,49,16,13,0,4,5,0,4,1,0,0,0,2,0,0,1,1,0,0,5,0,0,0,2,Accept (Oral),Accepted,7,7,9.0,7.67,good,ICLR_2019_19_paper.json,1,1,2,0,3,1,4,7,1,0,0,0,0,0,3,0,1,0,4,28,3,1,17,3,3,45,0,20,1,4,2,0,1,2,1,3,3,1,29,139,137,0,16,32,56,35,13
0,2019,Equi-normalization of Neural Networks,41,10,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,5.0,6.33,good,ICLR_2019_401_paper.json,1,0,6,1,2,5,2,4,0,1,0,8,1,0,0,0,0,1,6,38,0,2,20,9,1,78,5,19,4,11,1,1,0,1,1,1,3,3,72,232,7,0,2,2,1,3,1
0,2020,Graph Convolutional Reinforcement Learning,34,12,8,2,8,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_340_paper.json,3,0,2,3,3,3,1,2,0,0,0,5,1,0,0,0,0,1,4,28,0,2,42,15,0,29,1,11,0,4,0,0,2,1,1,4,0,4,62,178,168,0,12,29,61,73,20
0,2019,Directed-Info GAIL: Learning Hierarchical Policies from Unsegmented Demonstrations using Directed Information,27,8,5,0,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,8.0,6.67,good,ICLR_2019_52_paper.json,0,0,0,2,0,3,0,6,0,2,0,12,0,0,0,0,2,0,2,29,1,2,13,10,0,48,2,12,6,23,0,3,0,3,1,0,7,3,37,171,40,1,9,9,11,12,8
0,2018,A New Method of Region Embedding for Text Classification,21,5,8,0,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2018_322_paper.json,0,0,2,1,4,0,1,2,0,0,0,2,2,0,0,0,0,2,2,18,2,0,6,21,0,34,1,12,2,14,0,1,1,1,2,1,3,5,45,151,52,3,15,25,6,4,3
0,2019,Unsupervised Hyper-alignment for Multilingual Word Embeddings,40,15,9,0,5,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,1,Accept (Poster),Accepted,5,6,7.0,6.0,good,ICLR_2019_186_paper.json,1,1,2,4,1,0,1,5,0,1,0,4,3,0,1,0,1,0,7,32,1,1,15,9,0,32,2,12,4,15,0,0,0,2,0,0,0,1,24,118,54,0,18,17,8,11,0
0,2020,DivideMix: Learning with Noisy Labels as Semi-supervised Learning,47,26,0,6,7,11,1,1,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_71_paper.json,1,0,5,2,1,3,3,6,0,2,0,12,1,0,0,0,1,0,1,38,1,2,14,6,3,25,3,15,3,9,1,3,0,1,2,0,1,2,24,115,2,0,6,54,166,210,67
0,2018,Synthesizing realistic neural population activity patterns using Generative Adversarial Networks,47,15,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,Accept (Poster),Accepted,8,4,6.0,6.0,good,ICLR_2018_290_paper.json,1,0,9,4,2,2,3,7,6,1,0,4,0,0,2,0,1,0,2,44,1,0,33,13,0,30,0,9,7,6,2,1,2,2,3,1,1,1,49,161,24,4,4,5,8,3,3
0,2020,SNOW: Subscribing to Knowledge via Channel Pooling for Transfer & Lifelong Learning of Convolutional Neural Networks,28,12,1,4,2,4,0,1,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,8,8,3.0,6.33,good,ICLR_2020_319_paper.json,0,0,7,1,1,1,0,2,0,0,0,8,2,1,1,0,0,0,4,28,0,1,28,9,1,31,0,3,0,8,0,2,4,1,0,1,0,2,24,115,2,0,0,1,1,0,1
0,2019,Approximability of Discriminators Implies Diversity in GANs,39,19,16,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Accept (Poster),Accepted,8,7,7.0,7.33,good,ICLR_2019_425_paper.json,1,1,2,1,1,5,0,3,1,0,0,2,1,0,3,0,0,0,8,29,1,2,30,7,2,143,2,14,3,15,3,0,0,1,0,0,2,3,188,416,59,5,11,22,10,12,6
0,2019,Regularized Learning for  Domain Adaptation under Label Shifts,46,5,7,0,6,5,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,Accept (Poster),Accepted,7,6,6.0,6.33,good,ICLR_2019_432_paper.json,0,0,4,2,0,4,4,5,0,0,0,5,2,0,4,0,1,0,7,38,3,0,38,4,2,72,5,17,2,13,2,0,2,0,0,2,5,0,88,255,124,1,14,46,34,33,15
0,2018,Trust-PCL: An Off-Policy Trust Region Method for Continuous Control,33,17,7,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,5,5.0,5.33,good,ICLR_2018_125_paper.json,3,0,3,2,3,1,2,3,0,2,0,6,2,0,2,0,0,1,0,30,4,1,13,7,0,36,1,9,3,12,1,0,0,0,1,1,1,3,46,139,87,15,26,14,19,10,4
0,2018,Learning Latent Representations in Neural Networks for Clustering through Pseudo Supervision and Graph-based Activity Regularization,28,9,1,0,3,3,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,3,Accept (Poster),Accepted,6,7,7.0,6.67,good,ICLR_2018_80_paper.json,0,0,3,5,0,1,1,1,0,1,0,9,1,0,0,0,0,0,3,25,0,1,13,18,2,17,0,1,3,3,0,1,1,2,3,0,0,0,51,116,28,6,8,6,8,0,0
0,2020,Batch-shaping for learning conditional channel gated networks,41,12,3,7,1,4,0,1,8,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,8,6,6.0,6.67,good,ICLR_2020_405_paper.json,2,0,3,2,0,0,4,9,0,2,0,3,1,0,0,0,2,0,3,31,2,1,14,6,2,34,2,26,2,14,5,0,3,0,1,1,7,3,32,155,41,0,3,9,17,14,9
0,2019,Bayesian Prediction of Future Street Scenes using Synthetic Likelihoods,34,16,4,6,5,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Accept (Poster),Accepted,6,8,6.0,6.67,good,ICLR_2019_450_paper.json,0,0,5,3,0,2,1,10,2,5,1,4,1,1,1,0,1,0,8,45,0,0,10,4,0,43,2,18,3,19,6,1,0,2,0,2,1,1,31,143,44,1,12,11,12,9,0
0,2020,Strategies for Pre-training Graph Neural Networks,72,26,3,6,6,7,1,0,1,0,2,2,1,0,0,1,0,4,0,1,0,0,3,2,Accept (Spotlight),Accepted,6,6,6.0,6.0,good,ICLR_2020_590_paper.json,1,0,6,6,0,5,2,16,0,4,1,1,0,0,1,0,0,2,7,52,3,5,27,11,1,59,4,23,2,14,1,2,0,2,0,1,2,1,38,196,0,1,5,85,186,283,107
0,2017,Program Synthesis for Character Level Language Modeling,33,14,0,0,4,3,0,0,1,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,5,8,8.0,7.0,good,ICLR_2017_42_paper.json,0,0,6,0,1,1,2,3,1,0,0,1,3,0,0,0,0,0,2,20,5,0,19,15,2,34,4,17,4,9,2,0,0,0,3,0,1,2,26,143,11,2,0,4,1,4,0
0,2018,Model compression via distillation and quantization,38,24,12,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Accept (Poster),Accepted,7,6,8.0,7.0,good,ICLR_2018_87_paper.json,1,2,6,1,1,0,1,6,0,0,1,5,2,0,1,0,1,0,4,32,2,5,23,9,0,68,2,30,4,16,4,1,1,1,3,1,3,2,60,235,461,34,101,117,125,102,36
0,2020,InfoGraph: Unsupervised and Semi-supervised Graph-Level Representation Learning via Mutual Information Maximization,78,20,16,0,13,8,1,0,0,0,0,0,0,0,0,2,0,3,0,2,1,0,0,2,Accept (Spotlight),Accepted,6,6,6.0,6.0,good,ICLR_2020_537_paper.json,3,2,6,1,5,4,4,8,0,0,0,7,0,0,0,0,3,2,2,47,6,1,16,8,6,29,2,12,2,7,1,2,1,1,2,0,1,3,34,134,390,1,4,64,144,194,77
0,2018,Deep Active Learning for Named Entity Recognition,52,18,8,0,2,4,3,0,1,0,6,3,0,0,0,0,0,2,1,1,0,0,0,3,Accept (Poster),Accepted,6,6,7.0,6.33,good,ICLR_2018_246_paper.json,0,1,7,0,2,4,6,8,0,2,0,7,0,0,1,0,1,1,3,43,2,0,30,8,1,44,2,8,0,11,0,0,1,1,0,2,2,5,20,137,320,26,67,93,89,54,24
0,2018,Natural Language Inference over Interaction Space,51,27,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,6,6.0,5.67,good,ICLR_2018_225_paper.json,0,0,3,4,2,2,0,6,0,1,0,8,1,0,0,0,2,3,3,35,3,0,9,5,1,24,1,13,3,8,2,2,2,2,2,0,1,1,72,151,223,53,54,49,34,28,4
0,2017,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,39,18,1,2,1,5,0,0,2,2,4,1,0,0,1,0,0,0,1,1,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2017_109_paper.json,3,0,5,2,0,2,1,11,0,0,0,1,0,0,2,0,0,0,6,33,1,0,25,5,0,42,1,10,2,5,9,3,3,1,3,0,2,2,14,128,1690,0,0,0,296,477,227
0,2019,Cost-Sensitive Robustness against Adversarial Examples,34,16,2,6,2,2,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,Accept (Poster),Accepted,5,8,5.0,6.0,good,ICLR_2019_122_paper.json,0,0,3,0,1,2,5,5,0,2,0,9,1,0,2,0,0,0,3,33,4,0,12,7,1,39,3,7,1,7,2,0,0,2,1,0,2,3,29,120,2,3,8,2,5,5,1
0,2020,Mutual Information Gradient Estimation for  Representation Learning,51,10,7,3,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,Accept (Poster),Accepted,8,6,3.0,5.67,good,ICLR_2020_485_paper.json,1,1,9,2,7,4,0,3,1,0,0,4,1,0,0,0,0,0,5,38,3,1,14,6,2,37,1,6,3,11,0,1,1,0,0,0,0,0,38,124,19,0,0,6,10,3,2
0,2017,An Actor-Critic Algorithm for Sequence Prediction,46,18,14,2,3,3,0,0,3,0,3,1,0,0,0,0,0,0,2,3,0,1,1,0,Accept (Poster),Accepted,4,8,8.0,6.67,good,ICLR_2017_188_paper.json,1,0,3,2,1,2,2,14,1,1,0,4,3,0,1,0,3,0,5,43,4,3,19,14,1,43,6,25,2,18,2,2,2,1,4,1,2,4,36,189,2,135,106,95,70,45,23
0,2020,Fast Task Inference with Variational Intrinsic Successor Features,41,9,8,1,9,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Accept (Talk),Accepted,6,8,8.0,7.33,good,ICLR_2020_668_paper.json,0,0,4,6,3,4,2,5,0,0,1,1,0,1,2,0,1,0,3,33,1,0,22,18,1,33,0,5,5,8,3,1,2,0,0,1,3,2,49,154,94,0,4,14,36,40,6
0,2018,Generative networks as inverse problems with Scattering transforms,18,5,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,Accept (Poster),Accepted,7,8,6.0,7.0,good,ICLR_2018_172_paper.json,1,0,3,5,0,1,2,1,1,1,0,3,1,0,1,0,0,0,8,28,5,1,17,10,0,21,0,1,1,3,0,0,1,1,0,0,0,1,61,123,26,9,3,6,5,4,0
0,2019,Eidetic 3D LSTM: A Model for Video Prediction and Beyond,40,22,1,3,6,5,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,7.0,7.0,good,ICLR_2019_38_paper.json,1,0,2,3,1,2,3,5,0,0,0,4,1,0,0,0,0,1,1,24,1,0,21,6,0,27,3,19,4,24,2,1,4,3,1,0,5,1,55,177,184,0,17,54,61,57,17
0,2020,Pretrained Encyclopedia: Weakly Supervised Knowledge-Pretrained Language Model,38,19,11,2,5,1,2,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,6,6.0,6.67,good,ICLR_2020_94_paper.json,5,0,1,2,1,1,3,6,0,0,0,5,1,0,0,0,2,1,3,31,0,0,13,5,0,44,4,25,4,19,1,1,1,2,0,2,4,4,21,150,132,0,2,36,50,44,22
0,2020,B-Spline CNNs on Lie groups,64,29,5,3,5,4,0,4,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,8,3,6.0,5.67,good,ICLR_2020_418_paper.json,0,0,4,2,2,2,2,1,1,0,0,7,0,0,2,0,4,1,12,40,8,3,21,15,0,55,1,9,2,4,1,1,1,0,4,0,1,1,129,256,71,0,2,23,27,20,15
0,2019,Sample Efficient Adaptive Text-to-Speech,44,25,10,7,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,6.0,6.67,good,ICLR_2019_469_paper.json,1,0,1,2,3,1,3,4,1,2,0,7,2,0,2,0,2,0,2,33,2,2,22,8,2,36,2,6,3,13,0,1,2,1,3,1,3,1,29,137,101,2,31,21,23,29,9
0,2017,Maximum Entropy Flow Networks,37,15,10,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,9.0,7.0,good,ICLR_2017_16_paper.json,1,1,6,0,2,1,1,7,1,0,1,6,0,0,0,0,0,1,2,30,0,0,30,5,1,50,4,9,2,5,0,2,1,1,1,1,0,1,34,147,25,4,11,4,2,0,0
0,2020,A FRAMEWORK  FOR ROBUSTNESS CERTIFICATION  OF SMOOTHED CLASSIFIERS USING  F-DIVERGENCES,33,14,4,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_366_paper.json,0,0,5,1,1,3,1,5,1,3,0,5,3,0,3,1,1,0,4,37,4,5,27,13,2,92,3,7,1,10,0,0,4,0,5,0,2,1,92,268,47,0,0,19,12,17,5
0,2018,A Simple Neural Attentive Meta-Learner,32,18,7,4,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,7,6,6.0,6.33,good,ICLR_2018_282_paper.json,0,0,3,1,1,3,7,9,1,0,0,13,0,0,1,1,2,1,1,44,2,1,36,12,1,34,2,19,3,11,2,4,3,1,1,0,1,2,27,162,947,71,171,267,251,176,62
0,2019,Learning what you can do before doing anything,56,27,0,10,8,5,1,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2019_377_paper.json,0,1,5,1,2,3,6,10,0,1,1,8,1,0,4,0,2,1,6,52,0,1,22,5,1,54,7,32,0,19,0,0,2,1,2,0,3,5,33,187,13,0,2,2,7,2,1
0,2018,Don't Decay the Learning Rate Increase the Batch Size,28,17,16,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2018_207_paper.json,0,0,3,0,3,4,3,3,7,0,0,8,1,0,3,0,0,1,3,39,0,0,11,1,1,44,4,8,7,6,0,1,0,0,2,0,2,0,29,116,746,120,156,191,143,145,41
0,2020,MEMO: A Deep Network for Flexible Combination of Episodic Memories,52,9,17,1,5,5,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,Accept (Poster),Accepted,8,6,,7.0,good,ICLR_2020_268_paper.json,2,0,7,6,1,2,4,7,0,1,0,6,0,1,3,0,4,4,7,55,4,1,17,13,2,44,4,24,1,5,0,1,5,2,4,3,8,3,88,229,21,0,0,9,7,6,2
0,2020,Latent Normalizing Flows for Many-to-Many Cross-Domain Mappings,50,23,0,7,5,3,2,1,4,0,3,0,2,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,8,8,6.0,7.33,good,ICLR_2020_482_paper.json,1,0,6,0,3,5,2,9,0,0,0,10,1,0,1,0,1,0,9,48,3,0,14,10,2,46,3,8,1,21,0,2,1,1,1,0,1,1,44,159,22,0,0,6,4,14,2
0,2020,Linear Symmetric Quantization of Neural Networks for Low-precision Integer Hardware,35,10,4,2,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,3.0,5.0,good,ICLR_2020_28_paper.json,1,0,3,1,0,0,1,6,0,0,0,7,1,0,0,0,0,0,8,28,3,0,20,8,5,27,2,23,1,8,1,1,2,0,1,0,1,2,38,143,34,0,1,3,10,22,5
