clarity,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
0,2018,Demystifying MMD GANs,62,31,1,9,10,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Accept (Poster),Accepted,4,7,6.0,5.67,good,ICLR_2018_82_paper.json,4,1,12,2,1,5,5,6,0,2,0,9,2,0,7,0,2,1,14,73,9,0,73,18,2,72,2,13,2,6,4,4,3,1,7,0,2,3,184,405,600,44.0,83.0,121.0,174.0,194.0,113.0
0,2019,Learning Representations of Sets through Optimized Permutations,32,17,0,6,3,3,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,6,6.0,5.0,good,ICLR_2019_184_paper.json,1,1,2,2,0,3,4,5,0,2,1,1,2,3,2,0,2,2,6,39,2,2,32,11,0,67,3,15,7,22,1,0,1,1,1,3,4,6,105,283,19,0.0,4.0,3.0,6.0,7.0,1.0
0,2017,Neural Photo Editing with Introspective Adversarial Networks,30,23,19,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,6,6.0,5.67,good,ICLR_2017_194_paper.json,0,0,0,2,1,1,0,8,2,2,0,3,2,0,1,0,4,0,2,28,2,2,18,11,0,18,3,9,5,9,0,1,1,1,1,0,2,1,22,106,374,70.0,75.0,89.0,65.0,31.0,22.0
0,2019,Measuring and regularizing networks in function space,29,7,7,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2019_340_paper.json,0,1,2,4,0,2,0,2,0,0,0,3,0,0,1,0,0,0,3,18,4,0,40,8,3,50,1,11,4,4,0,1,1,0,0,1,2,0,60,190,67,0.0,11.0,5.0,15.0,37.0,20.0
0,2018,GANITE: Estimation of Individualized Treatment Effects using Generative Adversarial Nets,26,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2018_123_paper.json,1,1,3,0,0,1,1,5,0,2,0,7,0,0,2,0,1,1,7,32,0,4,12,13,1,48,1,22,1,9,2,2,2,1,0,2,1,3,37,161,233,12.0,20.0,64.0,65.0,81.0,30.0
1,2020,NAS-Bench-1Shot1: Benchmarking and Dissecting One-shot Neural Architecture Search,33,21,3,13,2,6,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,1,8,8.0,5.67,good,ICLR_2020_521_paper.json,3,0,9,8,1,3,0,4,1,1,0,6,2,1,2,0,2,1,3,47,0,1,30,9,0,40,2,17,4,3,2,2,2,1,1,4,2,3,44,167,111,0.0,1.0,39.0,53.0,24.0,7.0
1,2017,Maximum Entropy Flow Networks,37,15,10,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,9.0,7.0,good,ICLR_2017_16_paper.json,1,1,6,0,2,1,1,7,1,0,1,6,0,0,0,0,0,1,2,30,0,0,30,5,1,50,4,9,2,5,0,2,1,1,1,1,0,1,34,147,25,4.0,11.0,4.0,2.0,0.0,0.0
0,2018,Adaptive Quantization of Neural Networks,19,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2018_303_paper.json,0,0,2,0,5,1,0,3,0,1,0,1,1,0,1,0,1,1,2,19,1,0,33,4,0,52,1,12,3,8,2,1,1,0,3,0,4,0,50,175,37,5.0,13.0,3.0,12.0,7.0,1.0
1,2019,SGD Converges to Global Minimum in Deep Learning via Star-convex Path,37,17,0,4,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Accept (Poster),Accepted,8,6,5.0,6.33,good,ICLR_2019_128_paper.json,0,0,7,1,3,0,0,2,0,0,0,0,0,0,4,0,0,0,2,19,0,0,24,2,0,79,1,4,0,12,2,0,2,0,0,0,0,4,52,182,44,2.0,8.0,12.0,17.0,8.0,5.0
1,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,43,17,20,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,Accept (Oral),Accepted,7,7,8.0,7.33,good,ICLR_2018_15_paper.json,0,1,2,2,1,4,3,5,0,0,0,7,0,0,0,0,1,0,0,26,3,2,41,3,2,51,4,11,0,14,0,2,3,1,4,1,2,1,65,210,293,65.0,114.0,56.0,39.0,20.0,14.0
0,2019,Analysing Mathematical Reasoning Abilities of Neural Models,29,9,13,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,Accept (Poster),Accepted,7,6,6.0,6.33,good,ICLR_2019_161_paper.json,1,0,5,1,0,3,0,5,1,0,2,5,1,1,2,0,0,0,2,29,1,3,35,7,4,24,0,7,2,2,5,0,0,1,1,0,3,4,55,154,216,0.0,20.0,54.0,75.0,67.0,30.0
0,2019,Stochastic Optimization of Sorting Networks via Continuous Relaxations,39,13,4,5,4,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,8,6.0,7.0,good,ICLR_2019_146_paper.json,0,1,6,0,0,2,4,1,0,1,1,6,0,1,0,0,1,0,5,29,4,2,21,18,1,73,8,17,6,4,0,4,0,1,2,2,3,4,95,265,99,1.0,13.0,23.0,31.0,35.0,9.0
0,2017,Reinforcement Learning with Unsupervised Auxiliary Tasks,32,18,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,Accept (Oral),Accepted,7,8,8.0,7.67,good,ICLR_2017_6_paper.json,2,0,3,5,1,1,0,2,0,1,0,5,1,0,0,0,0,1,6,28,0,3,13,22,0,33,0,13,0,9,4,1,3,0,0,1,1,2,73,178,997,180.0,197.0,193.0,189.0,119.0,39.0
1,2020,"On the ""steerability"" of generative adversarial networks",30,12,11,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,8,8,8.0,8.0,good,ICLR_2020_174_paper.json,0,0,1,2,1,2,1,8,0,0,0,6,0,0,0,0,1,0,3,25,1,1,23,5,2,103,2,17,9,7,1,0,1,3,1,1,11,3,31,222,278,0.0,8.0,61.0,111.0,103.0,31.0
1,2018,An image representation based convolutional network for DNA classification,27,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,Accept (Poster),Accepted,7,7,7.0,7.0,good,ICLR_2018_287_paper.json,4,1,6,1,2,0,3,4,1,2,0,2,0,0,3,0,0,3,5,37,6,0,18,4,2,33,0,10,1,9,0,0,3,1,0,0,2,1,46,136,22,3.0,5.0,5.0,5.0,4.0,1.0
0,2020,Are Pre-trained Language Models Aware of Phrases? Simple but Strong Baselines for Grammar Induction,46,34,6,4,2,1,1,0,0,4,13,2,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,8,6.0,6.67,good,ICLR_2020_53_paper.json,1,0,3,0,3,4,4,1,0,1,0,5,2,0,2,0,1,1,1,29,2,4,23,3,2,49,7,9,2,19,3,2,3,0,1,0,3,2,15,149,59,0.0,0.0,21.0,18.0,22.0,6.0
1,2019,Neural Probabilistic Motor Primitives for Humanoid Control,45,17,8,4,9,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,Accept (Poster),Accepted,3,6,4.0,4.33,good,ICLR_2019_67_paper.json,4,0,2,2,3,3,3,6,0,0,0,3,0,0,1,0,4,0,4,35,2,0,29,5,2,50,1,13,2,15,3,1,0,0,1,0,1,2,36,163,93,0.0,19.0,24.0,28.0,24.0,13.0
0,2020,Implicit Bias of Gradient Descent based Adversarial Training on Separable Data,36,13,5,9,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Accept (Poster),Accepted,3,8,6.0,5.67,good,ICLR_2020_46_paper.json,0,0,8,0,4,2,1,1,1,0,0,0,1,0,1,0,1,1,3,24,1,1,28,5,1,96,2,14,6,10,0,0,1,0,2,0,4,2,132,305,24,0.0,1.0,6.0,12.0,4.0,3.0
1,2020,Distributionally Robust Neural Networks,64,23,3,2,9,7,0,1,3,2,6,0,1,0,0,0,0,1,0,2,0,0,1,1,Accept (Poster),Accepted,8,3,6.0,5.67,good,ICLR_2020_393_paper.json,3,1,9,3,3,8,1,9,3,1,1,4,0,1,2,0,3,0,6,58,1,0,19,1,1,47,3,15,2,13,1,2,0,0,0,2,3,2,33,145,434,0.0,0.0,46.0,139.0,272.0,115.0
0,2017,SGDR: Stochastic Gradient Descent with Warm Restarts,38,16,16,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,Accept (Poster),Accepted,7,7,7.0,7.0,good,ICLR_2017_133_paper.json,1,0,4,4,1,1,1,0,1,3,0,4,5,0,2,1,1,1,5,35,0,0,19,11,1,14,1,8,3,11,1,0,6,0,3,0,1,3,20,102,3609,0.0,0.0,5.0,29.0,330.0,636.0
1,2017,Dynamic Coattention Networks For Question Answering,27,18,8,1,3,0,0,1,0,4,3,1,0,0,0,0,0,0,1,0,0,0,0,1,Accept (Poster),Accepted,8,8,8.0,8.0,good,ICLR_2017_87_paper.json,0,0,4,3,0,1,1,4,0,1,0,8,1,0,5,1,3,0,1,33,4,0,30,9,1,24,1,3,0,5,0,0,3,2,1,0,0,0,52,135,649,123.0,141.0,94.0,77.0,68.0,7.0
0,2018,Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control,31,16,9,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,Accept (Poster),Accepted,7,7,5.0,6.33,good,ICLR_2018_317_paper.json,1,0,6,0,4,0,1,4,0,0,0,1,0,0,0,0,2,0,3,22,6,1,43,12,3,44,0,17,3,5,1,3,2,1,3,0,5,2,71,222,47,11.0,11.0,11.0,9.0,6.0,3.0
1,2020,Adaptive Structural Fingerprints for Graph Attention Networks,32,5,2,4,3,5,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_187_paper.json,0,0,1,0,3,2,4,2,0,0,0,8,0,0,0,0,0,0,4,24,2,0,11,3,1,25,3,9,2,10,1,1,0,0,0,0,0,1,53,122,46,0.0,0.0,13.0,25.0,12.0,9.0
0,2020,Your classifier is secretly an energy based model and you should treat it like one,49,20,27,0,5,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Accept (Talk),Accepted,6,8,8.0,7.33,good,ICLR_2020_654_paper.json,0,2,3,5,3,3,4,5,0,2,0,3,2,1,3,0,3,0,5,44,5,0,43,12,0,53,1,24,4,24,7,0,2,2,0,3,4,2,36,222,284,0.0,4.0,81.0,106.0,105.0,56.0
0,2018,Synthetic and Natural Noise Both Break Neural Machine Translation,51,29,10,2,1,2,2,0,1,0,6,0,0,0,0,0,0,0,2,1,0,0,1,0,Accept (Oral),Accepted,7,7,8.0,7.33,good,ICLR_2018_2_paper.json,1,0,11,1,1,3,0,6,0,0,0,2,0,0,1,0,1,0,2,29,0,0,31,2,3,28,5,10,2,8,3,2,1,0,6,0,1,1,33,136,532,50.0,110.0,132.0,136.0,107.0,49.0
0,2018,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck,28,13,6,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,5,6,6.0,5.67,good,ICLR_2018_275_paper.json,1,0,1,0,3,0,1,5,0,0,0,8,1,0,0,0,0,0,4,24,1,1,20,8,0,42,1,15,2,2,0,1,2,2,2,0,1,0,63,163,25,5.0,6.0,7.0,4.0,3.0,0.0
0,2019,Kernel RNN Learning (KeRNL),21,2,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,Accept (Poster),Accepted,7,5,6.0,6.0,good,ICLR_2019_471_paper.json,1,0,1,2,0,2,0,6,0,1,0,2,0,0,0,0,0,0,1,16,1,0,18,9,2,22,1,8,1,4,2,0,0,1,1,3,1,0,52,126,17,0.0,5.0,1.0,8.0,3.0,0.0
1,2018,Learning to Count Objects in Natural Images for Visual Question Answering,34,22,0,6,6,1,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,6,4.0,5.33,good,ICLR_2018_141_paper.json,1,0,6,2,0,0,0,4,1,3,0,4,1,1,1,0,1,1,5,31,1,3,19,5,1,50,0,8,4,2,1,0,1,0,0,0,1,4,79,179,162,26.0,39.0,47.0,29.0,28.0,5.0
1,2020,DeepHoyer: Learning Sparser Neural Network with Differentiable Scale-Invariant Sparsity Measures,57,19,12,1,9,3,0,3,6,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_16_paper.json,2,0,9,5,4,1,1,6,0,2,0,7,2,0,0,1,0,0,2,42,1,2,16,15,2,18,3,16,3,10,0,0,8,1,8,0,1,1,43,148,45,0.0,3.0,11.0,20.0,18.0,13.0
1,2019,Preventing Posterior Collapse with delta-VAEs,42,22,10,2,2,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2019_49_paper.json,3,0,5,1,2,0,2,9,0,0,0,6,0,0,1,0,5,1,6,41,0,0,25,1,2,31,0,17,2,18,4,1,1,0,2,1,4,6,30,145,127,0.0,21.0,35.0,37.0,32.0,8.0
1,2019,Deep Convolutional Networks as shallow Gaussian Processes,34,14,12,1,7,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,Accept (Poster),Accepted,5,8,5.0,6.0,good,ICLR_2019_100_paper.json,1,0,8,1,2,7,4,3,1,2,0,4,0,0,2,0,1,3,8,47,1,0,15,5,0,37,2,6,4,4,0,1,0,0,2,0,2,2,75,156,193,10.0,42.0,48.0,52.0,43.0,21.0
1,2018,Word translation without parallel data,50,15,3,3,3,2,0,0,0,5,14,2,0,0,0,0,0,0,0,2,0,0,0,2,Accept (Poster),Accepted,9,3,8.0,6.67,good,ICLR_2018_222_paper.json,1,0,5,2,4,1,2,9,0,3,0,8,6,2,2,0,4,0,3,52,1,1,14,9,2,44,3,20,1,25,0,4,2,2,2,0,0,4,36,170,1257,49.0,274.0,303.0,180.0,143.0,51.0
0,2020,Neural Policy Gradient Methods: Global Optimality and Rates of Convergence,84,38,32,1,15,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,5,Accept (Poster),Accepted,8,6,3.0,5.67,good,ICLR_2020_334_paper.json,2,0,6,4,5,2,0,2,2,0,0,7,0,0,6,0,1,1,12,50,6,0,11,7,0,167,7,5,0,2,0,0,1,0,0,0,7,2,326,541,151,1.0,15.0,46.0,50.0,49.0,16.0
1,2020,Progressive Memory Banks for Incremental Domain Adaptation,41,14,7,0,5,2,1,0,1,5,5,2,0,0,0,0,0,0,1,0,0,0,1,0,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_82_paper.json,2,0,8,2,2,2,5,1,0,2,0,7,0,1,0,0,4,3,3,42,4,1,21,11,0,64,3,16,3,23,0,2,1,4,1,1,1,3,49,208,18,0.0,1.0,5.0,8.0,4.0,1.0
1,2020,DeepV2D: Video to Depth with Differentiable Structure from Motion,58,14,4,0,1,0,0,6,20,0,0,0,7,1,0,0,0,0,0,5,0,0,0,0,Accept (Poster),Accepted,8,6,6.0,6.67,good,ICLR_2020_217_paper.json,3,0,3,7,3,1,1,14,0,2,0,5,0,1,0,0,3,1,6,50,2,2,9,9,2,50,3,22,3,12,0,1,1,3,0,2,4,4,39,168,102,0.0,8.0,16.0,36.0,44.0,20.0
0,2019,Scalable Unbalanced Optimal Transport using Generative Adversarial Networks,39,19,0,0,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Accept (Poster),Accepted,7,6,6.0,6.33,good,ICLR_2019_253_paper.json,1,0,3,3,4,3,3,3,2,1,0,6,2,1,2,0,2,0,14,50,7,3,27,7,0,28,1,9,0,2,0,1,0,1,0,0,0,0,90,176,36,0.0,7.0,11.0,8.0,12.0,8.0
1,2020,On the Convergence of FedAvg on Non-IID Data,50,16,19,0,6,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Accept (Talk),Accepted,8,8,6.0,7.33,good,ICLR_2020_644_paper.json,1,0,4,3,0,0,2,3,0,0,0,8,2,0,2,1,1,0,8,35,4,0,30,8,2,107,4,8,0,4,1,0,4,5,0,0,3,2,110,292,916,0.0,6.0,60.0,320.0,408.0,205.0
1,2020,Poly-encoders: Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring,29,17,1,2,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,8,8,6.0,7.33,good,ICLR_2020_34_paper.json,0,0,3,2,2,2,3,6,0,1,0,0,0,0,0,0,2,0,5,26,3,0,17,12,0,31,1,12,5,11,0,0,2,1,2,2,5,1,30,135,149,0.0,0.0,32.0,55.0,74.0,29.0
0,2019,Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision,33,12,10,1,11,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,5,7,7.0,6.33,good,ICLR_2019_221_paper.json,1,0,2,4,4,3,1,5,1,0,0,4,0,0,2,0,0,2,3,32,0,2,15,15,0,50,1,22,0,11,0,1,2,0,4,0,2,1,42,168,24,0.0,0.0,14.0,4.0,6.0,3.0
0,2017,Variational Recurrent Adversarial Deep Domain Adaptation,29,8,3,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,Accept (Poster),Accepted,6,5,6.0,5.67,good,ICLR_2017_41_paper.json,3,0,1,1,1,1,3,3,0,0,0,3,1,1,0,0,0,1,1,20,4,1,17,4,2,42,1,16,1,9,1,0,3,3,2,0,4,1,26,137,76,7.0,10.0,19.0,18.0,15.0,8.0
1,2020,Intensity-Free Learning of Temporal Point Processes,52,21,3,4,8,5,2,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,Accept (Spotlight),Accepted,8,6,8.0,7.33,good,ICLR_2020_542_paper.json,0,0,7,3,2,12,5,8,0,1,0,2,0,0,0,0,0,1,5,46,2,4,40,10,0,97,2,21,0,8,1,2,0,4,0,0,6,0,69,266,66,0.0,2.0,13.0,28.0,25.0,12.0
0,2020,Toward Evaluating Robustness of Deep Reinforcement Learning with Continuous Control,18,7,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,3.0,5.0,good,ICLR_2020_433_paper.json,0,0,5,2,1,2,0,6,0,5,0,5,3,0,0,1,0,2,2,34,1,0,12,4,1,32,0,9,1,28,3,2,1,0,2,0,3,1,18,118,9,0.0,0.0,1.0,4.0,4.0,6.0
