originality,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
1,2019,TimbreTron: A WaveNet(CycleGAN(CQT(Audio))) Pipeline for Musical Timbre Transfer,42,20,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,4,7,8,6.33,good,ICLR_2019_301_paper.json,5,0,3,4,3,6,2,2,1,0,0,8,3,0,3,0,0,0,1,41,5,4,29,9,2,42,0,18,4,8,0,1,4,3,0,0,4,1,48,182,87,0,9,20,16,13,5
1,2020,Domain Adaptive Multibranch Networks,50,21,3,4,3,5,0,3,15,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,3,8,5.67,good,ICLR_2020_507_paper.json,2,0,2,3,2,0,4,10,0,1,0,5,0,1,2,0,2,3,3,40,2,2,12,5,1,47,3,9,8,6,1,0,0,1,1,0,2,3,40,143,10,0,0,5,4,1,0
1,2019,RNNs implicitly implement tensor-product representations,54,19,4,0,6,1,1,1,1,2,7,2,0,0,0,0,0,0,1,3,0,0,0,1,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2019_71_paper.json,2,1,3,2,0,2,1,10,0,2,0,3,2,0,2,0,3,0,8,41,3,2,27,7,0,51,3,16,2,9,1,0,3,4,2,0,5,0,54,189,38,1,11,9,9,8,5
0,2020,Sharing Knowledge in Multi-Task Deep Reinforcement Learning,36,1,3,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_4_paper.json,0,0,5,2,1,3,6,4,5,0,0,7,2,0,3,0,3,0,6,47,4,2,18,7,1,25,6,14,6,5,0,1,4,0,1,0,1,2,52,149,2,0,2,14,20,28,11
1,2018,Twin Networks: Matching the Future for Sequence Generation,65,30,18,0,9,4,0,0,3,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,Accept (Poster),Accepted,6,7,8,7,good,ICLR_2018_133_paper.json,1,0,1,5,2,2,5,8,1,1,1,4,3,0,0,0,0,0,4,38,1,0,12,6,1,27,2,11,0,10,3,0,1,1,0,0,2,0,19,96,52,11,13,13,6,8,2
1,2019,Deep Convolutional Networks as shallow Gaussian Processes,34,14,12,1,7,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,Accept (Poster),Accepted,5,8,5,6,good,ICLR_2019_100_paper.json,1,0,8,1,2,7,4,3,1,2,0,4,0,0,2,0,1,3,8,47,1,0,15,5,0,37,2,6,4,4,0,1,0,0,2,0,2,2,75,156,193,10,42,48,52,43,21
1,2018,Generalizing Across Domains via Cross-Gradient Training,33,9,2,1,2,1,1,4,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,8,7.33,good,ICLR_2018_192_paper.json,0,0,1,1,3,1,0,2,0,0,0,4,1,1,1,0,2,0,4,21,1,0,25,5,0,47,2,14,0,5,2,0,1,2,0,1,0,3,40,148,300,11,31,51,102,112,47
1,2019,Exploration by random network distillation,55,30,20,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,4,9,6.67,good,ICLR_2019_167_paper.json,0,0,4,1,3,1,1,2,0,0,0,5,3,1,4,0,0,0,7,32,2,5,39,6,1,34,3,13,2,8,2,0,2,1,1,1,3,0,56,179,720,15,119,175,210,221,98
1,2019,A Variational Inequality Perspective on Generative Adversarial Networks,51,23,0,11,7,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,8,7,7.67,good,ICLR_2019_405_paper.json,3,1,5,6,3,5,0,2,1,2,0,9,1,2,7,0,4,4,17,72,5,3,27,11,4,81,10,17,6,5,1,5,3,0,1,1,5,4,141,330,255,16,48,71,63,64,19
1,2019,Query-Efficient Hard-label Black-box Attack: An Optimization-based Approach,26,14,6,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2019_438_paper.json,1,1,1,2,2,1,2,7,1,1,0,2,1,1,2,0,0,0,4,29,0,0,16,5,0,49,0,13,0,17,0,1,0,0,3,0,1,3,42,150,263,7,47,75,77,60,16
0,2018,Demystifying MMD GANs,62,31,1,9,10,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Accept (Poster),Accepted,4,7,6,5.67,good,ICLR_2018_82_paper.json,4,1,12,2,1,5,5,6,0,2,0,9,2,0,7,0,2,1,14,73,9,0,73,18,2,72,2,13,2,6,4,4,3,1,7,0,2,3,184,405,600,44,83,121,174,194,113
1,2019,Learning Representations of Sets through Optimized Permutations,32,17,0,6,3,3,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,6,6,5,good,ICLR_2019_184_paper.json,1,1,2,2,0,3,4,5,0,2,1,1,2,3,2,0,2,2,6,39,2,2,32,11,0,67,3,15,7,22,1,0,1,1,1,3,4,6,105,283,19,0,4,3,6,7,1
1,2017,Neural Photo Editing with Introspective Adversarial Networks,30,23,19,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,6,6,5.67,good,ICLR_2017_194_paper.json,0,0,0,2,1,1,0,8,2,2,0,3,2,0,1,0,4,0,2,28,2,2,18,11,0,18,3,9,5,9,0,1,1,1,1,0,2,1,22,106,374,70,75,89,65,31,22
0,2020,Ridge Regression: Structure Cross-Validation and Sketching,26,7,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Spotlight),Accepted,6,8,,7,good,ICLR_2020_554_paper.json,1,2,3,1,1,2,3,2,0,0,0,3,0,1,1,0,1,0,12,33,7,2,23,5,3,66,7,11,2,5,1,0,0,0,2,2,7,0,141,284,31,1,2,14,6,8,3
1,2018,GANITE: Estimation of Individualized Treatment Effects using Generative Adversarial Nets,26,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_123_paper.json,1,1,3,0,0,1,1,5,0,2,0,7,0,0,2,0,1,1,7,32,0,4,12,13,1,48,1,22,1,9,2,2,2,1,0,2,1,3,37,161,233,12,20,64,65,81,30
1,2019,Multi-Domain Adversarial Learning,77,20,2,1,9,3,3,3,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,Accept (Poster),Accepted,5,8,6,6.33,good,ICLR_2019_356_paper.json,1,0,6,4,2,0,3,2,2,1,0,13,0,0,5,0,2,0,17,58,3,1,30,10,1,10,0,1,4,2,1,3,4,1,3,0,1,1,62,138,44,1,7,12,10,12,3
1,2017,Maximum Entropy Flow Networks,37,15,10,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,9,7,good,ICLR_2017_16_paper.json,1,1,6,0,2,1,1,7,1,0,1,6,0,0,0,0,0,1,2,30,0,0,30,5,1,50,4,9,2,5,0,2,1,1,1,1,0,1,34,147,25,4,11,4,2,0,0
1,2019,SGD Converges to Global Minimum in Deep Learning via Star-convex Path,37,17,0,4,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Accept (Poster),Accepted,8,6,5,6.33,good,ICLR_2019_128_paper.json,0,0,7,1,3,0,0,2,0,0,0,0,0,0,4,0,0,0,2,19,0,0,24,2,0,79,1,4,0,12,2,0,2,0,0,0,0,4,52,182,44,2,8,12,17,8,5
0,2017,Training Agent for First-Person Shooter Game with Actor-Critic Curriculum Learning,22,11,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,Accept (Poster),Accepted,6,4,7,5.67,good,ICLR_2017_54_paper.json,2,0,1,1,1,0,1,2,0,2,0,5,1,0,0,0,0,1,5,22,0,0,22,4,1,16,0,10,2,6,2,2,1,0,0,0,0,3,39,108,159,47,35,33,22,11,7
1,2019,Improving Generalization and Stability of Generative Adversarial Networks,25,19,2,6,7,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2019_139_paper.json,1,0,4,0,3,0,0,3,0,0,0,7,1,1,7,0,0,0,1,28,0,2,42,7,1,26,1,3,2,10,0,1,0,5,6,1,2,0,78,187,108,2,20,46,23,19,3
1,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,43,17,20,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,Accept (Oral),Accepted,7,7,8,7.33,good,ICLR_2018_15_paper.json,0,1,2,2,1,4,3,5,0,0,0,7,0,0,0,0,1,0,0,26,3,2,41,3,2,51,4,11,0,14,0,2,3,1,4,1,2,1,65,210,293,65,114,56,39,20,14
1,2018,GANITE: Estimation of Individualized Treatment Effects using Generative Adversarial Nets,26,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_123_paper.json,1,1,3,0,0,1,1,5,0,2,0,7,0,0,2,0,1,1,7,32,0,4,12,13,1,48,1,22,1,9,2,2,2,1,0,2,1,3,37,161,233,12,20,64,65,81,30
1,2019,Stochastic Optimization of Sorting Networks via Continuous Relaxations,39,13,4,5,4,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,8,6,7,good,ICLR_2019_146_paper.json,0,1,6,0,0,2,4,1,0,1,1,6,0,1,0,0,1,0,5,29,4,2,21,18,1,73,8,17,6,4,0,4,0,1,2,2,3,4,95,265,99,1,13,23,31,35,9
0,2020,Composing Task-Agnostic Policies with Deep Reinforcement Learning,34,7,9,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_261_paper.json,1,0,4,8,4,0,1,7,0,1,0,5,0,0,0,0,2,0,3,36,7,2,10,26,3,25,4,19,2,15,3,0,1,2,3,0,4,3,71,200,20,0,1,4,7,10,3
0,2018,An image representation based convolutional network for DNA classification,27,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2018_287_paper.json,4,1,6,1,2,0,3,4,1,2,0,2,0,0,3,0,0,3,5,37,6,0,18,4,2,33,0,10,1,9,0,0,3,1,0,0,2,1,46,136,22,3,5,5,5,4,1
1,2020,Distributionally Robust Neural Networks,64,23,3,2,9,7,0,1,3,2,6,0,1,0,0,0,0,1,0,2,0,0,1,1,Accept (Poster),Accepted,8,3,6,5.67,good,ICLR_2020_393_paper.json,3,1,9,3,3,8,1,9,3,1,1,4,0,1,2,0,3,0,6,58,1,0,19,1,1,47,3,15,2,13,1,2,0,0,0,2,3,2,33,145,434,0,0,46,139,272,115
1,2017,Towards Deep Interpretability (MUS-ROVER II): Learning Hierarchical Representations of Tonal Music,25,12,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,8,6,6.67,good,ICLR_2017_171_paper.json,1,1,4,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,3,15,4,1,28,13,3,47,0,8,1,1,1,5,1,0,1,0,2,3,77,196,9,3,2,0,1,2,0
1,2017,Dynamic Coattention Networks For Question Answering,27,18,8,1,3,0,0,1,0,4,3,1,0,0,0,0,0,0,1,0,0,0,0,1,Accept (Poster),Accepted,8,8,8,8,good,ICLR_2017_87_paper.json,0,0,4,3,0,1,1,4,0,1,0,8,1,0,5,1,3,0,1,33,4,0,30,9,1,24,1,3,0,5,0,0,3,2,1,0,0,0,52,135,649,123,141,94,77,68,7
1,2018,Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control,31,16,9,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,Accept (Poster),Accepted,7,7,5,6.33,good,ICLR_2018_317_paper.json,1,0,6,0,4,0,1,4,0,0,0,1,0,0,0,0,2,0,3,22,6,1,43,12,3,44,0,17,3,5,1,3,2,1,3,0,5,2,71,222,47,11,11,11,9,6,3
1,2019,DARTS: Differentiable Architecture Search,49,35,14,3,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,7,8,7,good,ICLR_2019_286_paper.json,0,0,5,2,2,2,1,6,1,3,0,3,2,0,0,1,0,1,14,43,1,1,12,7,1,29,1,8,1,8,2,0,4,1,1,1,3,0,40,121,2631,0,3,10,132,600,254
1,2020,Your classifier is secretly an energy based model and you should treat it like one,49,20,27,0,5,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Accept (Talk),Accepted,6,8,8,7.33,good,ICLR_2020_654_paper.json,0,2,3,5,3,3,4,5,0,2,0,3,2,1,3,0,3,0,5,44,5,0,43,12,0,53,1,24,4,24,7,0,2,2,0,3,4,2,36,222,284,0,4,81,106,105,56
1,2018,Synthetic and Natural Noise Both Break Neural Machine Translation,51,29,10,2,1,2,2,0,1,0,6,0,0,0,0,0,0,0,2,1,0,0,1,0,Accept (Oral),Accepted,7,7,8,7.33,good,ICLR_2018_2_paper.json,1,0,11,1,1,3,0,6,0,0,0,2,0,0,1,0,1,0,2,29,0,0,31,2,3,28,5,10,2,8,3,2,1,0,6,0,1,1,33,136,532,50,110,132,136,107,49
0,2018,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck,28,13,6,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,5,6,6,5.67,good,ICLR_2018_275_paper.json,1,0,1,0,3,0,1,5,0,0,0,8,1,0,0,0,0,0,4,24,1,1,20,8,0,42,1,15,2,2,0,1,2,2,2,0,1,0,63,163,25,5,6,7,4,3,0
1,2018,Learning to Count Objects in Natural Images for Visual Question Answering,34,22,0,6,6,1,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,6,4,5.33,good,ICLR_2018_141_paper.json,1,0,6,2,0,0,0,4,1,3,0,4,1,1,1,0,1,1,5,31,1,3,19,5,1,50,0,8,4,2,1,0,1,0,0,0,1,4,79,179,162,26,39,47,29,28,5
1,2019,Learning to Screen for Fast Softmax  Inference on Large Vocabulary Neural Networks,27,7,5,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,6,8,7,good,ICLR_2019_113_paper.json,0,1,1,1,1,1,1,9,0,0,0,8,3,1,1,0,1,0,2,31,1,1,15,6,0,51,4,12,1,18,0,2,1,0,1,0,1,1,33,148,16,0,4,4,5,3,0
0,2020,DeepHoyer: Learning Sparser Neural Network with Differentiable Scale-Invariant Sparsity Measures,57,19,12,1,9,3,0,3,6,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_16_paper.json,2,0,9,5,4,1,1,6,0,2,0,7,2,0,0,1,0,0,2,42,1,2,16,15,2,18,3,16,3,10,0,0,8,1,8,0,1,1,43,148,45,0,3,11,20,18,13
1,2019,Preventing Posterior Collapse with delta-VAEs,42,22,10,2,2,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2019_49_paper.json,3,0,5,1,2,0,2,9,0,0,0,6,0,0,1,0,5,1,6,41,0,0,25,1,2,31,0,17,2,18,4,1,1,0,2,1,4,6,30,145,127,0,21,35,37,32,8
1,2018,Stochastic Variational Video Prediction,42,30,8,5,9,2,1,2,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2018_126_paper.json,1,0,7,1,1,1,1,6,0,0,2,4,2,0,3,0,1,0,7,37,0,2,31,7,0,37,0,9,2,15,3,1,0,0,0,1,0,4,35,147,413,62,82,95,86,94,26
1,2019,Deep Convolutional Networks as shallow Gaussian Processes,34,14,12,1,7,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,Accept (Poster),Accepted,5,8,5,6,good,ICLR_2019_100_paper.json,1,0,8,1,2,7,4,3,1,2,0,4,0,0,2,0,1,3,8,47,1,0,15,5,0,37,2,6,4,4,0,1,0,0,2,0,2,2,75,156,193,10,42,48,52,43,21
1,2017,Recurrent Hidden Semi-Markov Model,38,13,12,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2017_119_paper.json,1,0,0,0,0,4,0,6,2,0,0,1,0,2,0,0,0,1,4,21,1,1,17,9,1,59,2,15,2,10,0,0,3,0,4,0,2,1,56,183,14,8,9,5,7,3,0
0,2020,Neural Policy Gradient Methods: Global Optimality and Rates of Convergence,84,38,32,1,15,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,5,Accept (Poster),Accepted,8,6,3,5.67,good,ICLR_2020_334_paper.json,2,0,6,4,5,2,0,2,2,0,0,7,0,0,6,0,1,1,12,50,6,0,11,7,0,167,7,5,0,2,0,0,1,0,0,0,7,2,326,541,151,1,15,46,50,49,16
1,2020,Progressive Memory Banks for Incremental Domain Adaptation,41,14,7,0,5,2,1,0,1,5,5,2,0,0,0,0,0,0,1,0,0,0,1,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_82_paper.json,2,0,8,2,2,2,5,1,0,2,0,7,0,1,0,0,4,3,3,42,4,1,21,11,0,64,3,16,3,23,0,2,1,4,1,1,1,3,49,208,18,0,1,5,8,4,1
1,2020,DeepV2D: Video to Depth with Differentiable Structure from Motion,58,14,4,0,1,0,0,6,20,0,0,0,7,1,0,0,0,0,0,5,0,0,0,0,Accept (Poster),Accepted,8,6,6,6.67,good,ICLR_2020_217_paper.json,3,0,3,7,3,1,1,14,0,2,0,5,0,1,0,0,3,1,6,50,2,2,9,9,2,50,3,22,3,12,0,1,1,3,0,2,4,4,39,168,102,0,8,16,36,44,20
0,2019,Scalable Unbalanced Optimal Transport using Generative Adversarial Networks,39,19,0,0,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2019_253_paper.json,1,0,3,3,4,3,3,3,2,1,0,6,2,1,2,0,2,0,14,50,7,3,27,7,0,28,1,9,0,2,0,1,0,1,0,0,0,0,90,176,36,0,7,11,8,12,8
1,2019,Top-Down Neural Model For Formulae,10,3,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2019_121_paper.json,0,1,3,1,0,0,0,4,0,0,0,2,0,0,2,0,1,0,0,14,3,1,17,2,2,32,1,8,5,18,2,0,0,1,0,0,6,3,31,132,11,1,5,3,1,2,1
0,2020,Poly-encoders: Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring,29,17,1,2,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,8,8,6,7.33,good,ICLR_2020_34_paper.json,0,0,3,2,2,2,3,6,0,1,0,0,0,0,0,0,2,0,5,26,3,0,17,12,0,31,1,12,5,11,0,0,2,1,2,2,5,1,30,135,149,0,0,32,55,74,29
1,2017,Discrete Variational Autoencoders,59,21,5,6,10,14,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,Accept (Poster),Accepted,8,9,8,8.33,good,ICLR_2017_172_paper.json,0,0,9,6,2,3,0,12,0,0,0,4,1,1,0,0,1,0,6,45,8,0,45,18,0,86,3,12,4,2,0,1,0,1,1,0,0,5,171,357,4,27,38,31,25,39,25
1,2019,Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision,33,12,10,1,11,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,5,7,7,6.33,good,ICLR_2019_221_paper.json,1,0,2,4,4,3,1,5,1,0,0,4,0,0,2,0,0,2,3,32,0,2,15,15,0,50,1,22,0,11,0,1,2,0,4,0,2,1,42,168,24,0,0,14,4,6,3
0,2020,Contrastive Representation Distillation,41,16,14,0,4,1,1,0,13,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,6,6,5,good,ICLR_2020_367_paper.json,1,0,1,0,0,3,4,5,0,0,0,7,0,0,2,0,4,0,2,29,0,0,21,6,0,44,3,21,4,13,0,0,1,2,3,3,0,0,35,156,514,1,5,90,206,238,89
0,2017,Variational Recurrent Adversarial Deep Domain Adaptation,29,8,3,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,Accept (Poster),Accepted,6,5,6,5.67,good,ICLR_2017_41_paper.json,3,0,1,1,1,1,3,3,0,0,0,3,1,1,0,0,0,1,1,20,4,1,17,4,2,42,1,16,1,9,1,0,3,3,2,0,4,1,26,137,76,7,10,19,18,15,8
1,2020,Toward Evaluating Robustness of Deep Reinforcement Learning with Continuous Control,18,7,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,3,5,good,ICLR_2020_433_paper.json,0,0,5,2,1,2,0,6,0,5,0,5,3,0,0,1,0,2,2,34,1,0,12,4,1,32,0,9,1,28,3,2,1,0,2,0,3,1,18,118,9,0,0,1,4,4,6
0,2019,Robust Conditional Generative Adversarial Networks,43,17,5,5,6,3,0,11,9,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2019_120_paper.json,2,0,2,2,2,3,2,6,2,2,1,5,1,0,0,1,1,0,3,35,1,1,25,13,0,66,2,20,3,23,0,2,0,2,6,0,3,1,75,243,19,1,7,9,1,1,1
0,2019,Value Propagation Networks,33,15,19,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2019_310_paper.json,0,0,3,7,2,1,1,3,1,0,0,5,1,0,1,0,0,2,1,28,7,0,23,6,1,22,2,9,3,9,0,0,0,0,0,0,1,3,51,137,23,2,4,7,6,4,2
