meaningful_comparison,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
0,2017,Faster CNNs with Direct Sparse Convolutions and Guided Pruning,28,19,5,6,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2017_166_paper.json,0,0,5,2,0,2,2,2,2,0,0,3,0,1,1,0,1,1,4,26,2,1,30,8,2,20,1,9,3,13,1,1,3,1,0,2,1,2,37,137,149,34,32,36,27,16,6
1,2019,The role of over-parametrization in generalization of neural networks,29,16,1,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2019_123_paper.json,0,0,5,0,1,2,1,4,0,2,1,1,0,1,5,0,0,0,1,24,2,2,9,3,0,61,1,13,3,8,1,0,0,1,2,0,3,3,76,188,420,20,117,199,199,149,52
0,2019,Deep Convolutional Networks as shallow Gaussian Processes,34,14,12,1,7,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,Accept (Poster),Accepted,5,8,5,6,good,ICLR_2019_100_paper.json,1,0,8,1,2,7,4,3,1,2,0,4,0,0,2,0,1,3,8,47,1,0,15,5,0,37,2,6,4,4,0,1,0,0,2,0,2,2,75,156,193,10,42,48,52,43,21
1,2020,Ridge Regression: Structure Cross-Validation and Sketching,26,7,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Spotlight),Accepted,6,8,,7,good,ICLR_2020_554_paper.json,1,2,3,1,1,2,3,2,0,0,0,3,0,1,1,0,1,0,12,33,7,2,23,5,3,66,7,11,2,5,1,0,0,0,2,2,7,0,141,284,31,1,2,14,6,8,3
0,2019,Multi-Domain Adversarial Learning,77,20,2,1,9,3,3,3,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,Accept (Poster),Accepted,5,8,6,6.33,good,ICLR_2019_356_paper.json,1,0,6,4,2,0,3,2,2,1,0,13,0,0,5,0,2,0,17,58,3,1,30,10,1,10,0,1,4,2,1,3,4,1,3,0,1,1,62,138,44,1,7,12,10,12,3
0,2020,Universal Approximation with Certified Networks,44,32,8,7,7,6,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,8,6,5.67,good,ICLR_2020_372_paper.json,0,0,0,1,2,1,0,0,0,1,0,5,2,0,3,0,2,0,1,18,2,2,6,2,2,36,0,3,0,1,1,0,0,2,0,0,1,2,46,106,15,0,2,3,6,4,3
0,2017,Training Agent for First-Person Shooter Game with Actor-Critic Curriculum Learning,22,11,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,Accept (Poster),Accepted,6,4,7,5.67,good,ICLR_2017_54_paper.json,2,0,1,1,1,0,1,2,0,2,0,5,1,0,0,0,0,1,5,22,0,0,22,4,1,16,0,10,2,6,2,2,1,0,0,0,0,3,39,108,159,47,35,33,22,11,7
0,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,43,17,20,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,Accept (Oral),Accepted,7,7,8,7.33,good,ICLR_2018_15_paper.json,0,1,2,2,1,4,3,5,0,0,0,7,0,0,0,0,1,0,0,26,3,2,41,3,2,51,4,11,0,14,0,2,3,1,4,1,2,1,65,210,293,65,114,56,39,20,14
0,2019,Analysing Mathematical Reasoning Abilities of Neural Models,29,9,13,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2019_161_paper.json,1,0,5,1,0,3,0,5,1,0,2,5,1,1,2,0,0,0,2,29,1,3,35,7,4,24,0,7,2,2,5,0,0,1,1,0,3,4,55,154,216,0,20,54,75,67,30
1,2019,Stochastic Optimization of Sorting Networks via Continuous Relaxations,39,13,4,5,4,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,8,6,7,good,ICLR_2019_146_paper.json,0,1,6,0,0,2,4,1,0,1,1,6,0,1,0,0,1,0,5,29,4,2,21,18,1,73,8,17,6,4,0,4,0,1,2,2,3,4,95,265,99,1,13,23,31,35,9
0,2020,Composing Task-Agnostic Policies with Deep Reinforcement Learning,34,7,9,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_261_paper.json,1,0,4,8,4,0,1,7,0,1,0,5,0,0,0,0,2,0,3,36,7,2,10,26,3,25,4,19,2,15,3,0,1,2,3,0,4,3,71,200,20,0,1,4,7,10,3
1,2020,Are Pre-trained Language Models Aware of Phrases? Simple but Strong Baselines for Grammar Induction,46,34,6,4,2,1,1,0,0,4,13,2,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,8,6,6.67,good,ICLR_2020_53_paper.json,1,0,3,0,3,4,4,1,0,1,0,5,2,0,2,0,1,1,1,29,2,4,23,3,2,49,7,9,2,19,3,2,3,0,1,0,3,2,15,149,59,0,0,21,18,22,6
1,2019,Neural Probabilistic Motor Primitives for Humanoid Control,45,17,8,4,9,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,Accept (Poster),Accepted,3,6,4,4.33,good,ICLR_2019_67_paper.json,4,0,2,2,3,3,3,6,0,0,0,3,0,0,1,0,4,0,4,35,2,0,29,5,2,50,1,13,2,15,3,1,0,0,1,0,1,2,36,163,93,0,19,24,28,24,13
0,2020,Bounds on Over-Parameterization for Guaranteed Existence of Descent Paths in Shallow ReLU Networks,18,6,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,6,,6,good,ICLR_2020_114_paper.json,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,21,4,2,25,2,2,67,6,0,1,4,3,0,0,0,2,0,0,1,156,275,8,0,0,2,4,2,1
0,2018,Syntax-Directed Variational Autoencoder for Structured Data,30,19,15,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,5,7,5,good,ICLR_2018_62_paper.json,3,0,5,0,1,2,5,7,0,1,0,3,0,0,2,0,2,0,4,35,4,2,17,15,1,57,3,10,2,17,1,2,2,0,0,1,1,2,48,185,240,28,56,53,54,52,18
0,2018,Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control,31,16,9,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,Accept (Poster),Accepted,7,7,5,6.33,good,ICLR_2018_317_paper.json,1,0,6,0,4,0,1,4,0,0,0,1,0,0,0,0,2,0,3,22,6,1,43,12,3,44,0,17,3,5,1,3,2,1,3,0,5,2,71,222,47,11,11,11,9,6,3
0,2019,Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision,33,12,10,1,11,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,5,7,7,6.33,good,ICLR_2019_221_paper.json,1,0,2,4,4,3,1,5,1,0,0,4,0,0,2,0,0,2,3,32,0,2,15,15,0,50,1,22,0,11,0,1,2,0,4,0,2,1,42,168,24,0,0,14,4,6,3
1,2017,Variational Recurrent Adversarial Deep Domain Adaptation,29,8,3,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,Accept (Poster),Accepted,6,5,6,5.67,good,ICLR_2017_41_paper.json,3,0,1,1,1,1,3,3,0,0,0,3,1,1,0,0,0,1,1,20,4,1,17,4,2,42,1,16,1,9,1,0,3,3,2,0,4,1,26,137,76,7,10,19,18,15,8
1,2020,Intensity-Free Learning of Temporal Point Processes,52,21,3,4,8,5,2,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,Accept (Spotlight),Accepted,8,6,8,7.33,good,ICLR_2020_542_paper.json,0,0,7,3,2,12,5,8,0,1,0,2,0,0,0,0,0,1,5,46,2,4,40,10,0,97,2,21,0,8,1,2,0,4,0,0,6,0,69,266,66,0,2,13,28,25,12
0,2020,Toward Evaluating Robustness of Deep Reinforcement Learning with Continuous Control,18,7,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,3,5,good,ICLR_2020_433_paper.json,0,0,5,2,1,2,0,6,0,5,0,5,3,0,0,1,0,2,2,34,1,0,12,4,1,32,0,9,1,28,3,2,1,0,2,0,3,1,18,118,9,0,0,1,4,4,6
0,2019,Robust Conditional Generative Adversarial Networks,43,17,5,5,6,3,0,11,9,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2019_120_paper.json,2,0,2,2,2,3,2,6,2,2,1,5,1,0,0,1,1,0,3,35,1,1,25,13,0,66,2,20,3,23,0,2,0,2,6,0,3,1,75,243,19,1,7,9,1,1,1
0,2019,Value Propagation Networks,33,15,19,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2019_310_paper.json,0,0,3,7,2,1,1,3,1,0,0,5,1,0,1,0,0,2,1,28,7,0,23,6,1,22,2,9,3,9,0,0,0,0,0,0,1,3,51,137,23,2,4,7,6,4,2
1,2020,NAS-Bench-201: Extending the Scope of Reproducible Neural Architecture Search,38,23,3,11,4,3,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Accept (Spotlight),Accepted,8,8,8,8,good,ICLR_2020_589_paper.json,0,0,6,4,3,4,5,5,0,1,0,3,0,1,1,0,0,0,4,37,3,0,26,9,0,29,2,15,2,8,10,1,1,3,3,0,6,2,39,159,341,1,5,79,125,149,44
0,2020,To Relieve Your Headache of Training an MRF Take AdVIL,50,1,13,0,6,4,0,0,1,0,0,0,0,0,0,0,4,0,1,2,0,0,0,2,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_27_paper.json,2,0,12,8,3,6,4,5,0,2,1,6,1,1,0,0,1,0,8,60,3,2,32,13,0,48,1,12,1,7,1,3,2,3,6,1,4,0,79,218,9,0,1,6,1,1,0
0,2020,Understanding l4-based Dictionary Learning: Interpretation Stability and Robustness,61,15,8,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,Accept (Poster),Accepted,8,6,,7,good,ICLR_2020_327_paper.json,1,1,3,0,4,4,0,2,0,0,0,3,2,0,3,0,0,0,4,27,4,0,16,6,1,30,1,9,1,5,3,0,0,0,0,0,2,1,77,156,12,0,1,3,3,7,2
1,2019,DeepOBS: A Deep Learning Optimizer Benchmark Suite,54,20,10,6,6,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2019_427_paper.json,2,0,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,13,1,1,42,9,3,23,1,9,2,2,7,0,0,0,1,1,0,1,30,133,47,0,12,10,14,12,3
0,2019,Learning to Navigate the Web,15,6,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,7,7,7.33,good,ICLR_2019_54_paper.json,0,0,0,1,0,0,2,2,3,1,0,2,0,0,2,0,1,1,3,18,2,0,14,29,1,54,2,18,3,8,2,1,2,2,1,0,2,2,40,183,21,0,3,2,8,8,8
0,2018,Distributed Fine-tuning of Language Models on Private Data,26,11,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,4,4,4.33,good,ICLR_2018_227_paper.json,1,0,0,1,1,3,0,8,0,1,0,3,1,0,1,0,1,0,3,24,1,0,23,6,0,37,1,8,2,9,0,0,1,0,1,0,3,3,47,142,13,1,1,6,4,3,1
0,2020,Can gradient clipping mitigate label noise?,92,27,6,2,16,10,1,0,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1,7,Accept (Poster),Accepted,6,8,6,6.67,good,ICLR_2020_95_paper.json,0,0,9,3,5,5,4,5,1,1,1,4,0,0,2,0,1,0,7,48,1,0,33,5,2,47,2,8,4,2,0,1,0,0,0,1,2,2,72,182,70,0,0,22,28,24,11
0,2018,Noisy Networks For Exploration,44,16,9,0,7,8,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,Accept (Poster),Accepted,5,7,6,6,good,ICLR_2018_165_paper.json,2,0,3,2,0,1,0,3,0,0,1,4,0,0,0,0,3,2,4,25,5,1,17,18,0,28,2,12,1,1,2,0,4,0,1,0,2,3,73,170,633,88,154,148,133,111,31
0,2019,Generating Multiple Objects at Spatially Distinct Locations,29,18,3,2,8,2,0,2,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,7,8,7,good,ICLR_2019_148_paper.json,0,0,2,0,0,0,1,9,1,1,1,8,0,0,0,0,2,1,2,28,0,2,17,15,2,54,1,27,6,16,0,5,1,1,4,0,5,2,42,200,85,1,14,26,25,20,8
0,2020,Four Things Everyone Should Know to Improve Batch Normalization,44,15,5,4,10,2,2,3,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,3,6,5,good,ICLR_2020_233_paper.json,1,1,7,1,4,1,1,4,1,1,0,7,1,1,1,0,2,0,4,38,0,2,43,2,1,37,1,4,1,10,2,0,3,2,0,1,2,1,27,139,36,0,0,8,15,14,5
0,2019,Sample Efficient Imitation Learning for Continuous Control,33,6,9,0,3,9,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,Accept (Poster),Accepted,7,5,5,5.67,good,ICLR_2019_81_paper.json,0,1,3,0,6,2,0,5,1,0,0,2,0,1,1,0,1,1,2,26,6,0,17,5,2,27,0,12,2,16,0,0,0,2,1,0,1,4,42,137,50,0,12,17,13,8,1
0,2019,Auxiliary Variational MCMC,22,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2019_393_paper.json,2,0,6,2,1,3,2,3,0,0,1,2,0,0,0,0,0,1,0,23,1,0,28,9,1,35,0,17,0,12,1,2,0,1,0,0,2,2,35,146,18,1,3,5,5,4,1
0,2019,Equi-normalization of Neural Networks,41,10,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,5,6.33,good,ICLR_2019_401_paper.json,1,0,6,1,2,5,2,4,0,1,0,8,1,0,0,0,0,1,6,38,0,2,20,9,1,78,5,19,4,11,1,1,0,1,1,1,3,3,72,232,7,0,2,2,1,3,1
0,2019,Active Learning with Partial Feedback,29,5,2,3,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2019_190_paper.json,0,0,1,0,0,2,3,1,0,1,0,7,0,0,1,0,0,0,0,16,1,0,14,11,0,49,0,13,0,10,0,0,2,0,0,0,1,1,31,133,44,1,5,14,13,14,2
0,2018,Stochastic Variational Video Prediction,42,30,8,5,9,2,1,2,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2018_126_paper.json,1,0,7,1,1,1,1,6,0,0,2,4,2,0,3,0,1,0,7,37,0,2,31,7,0,37,0,9,2,15,3,1,0,0,0,1,0,4,35,147,413,62,82,95,86,94,26
0,2017,Towards Principled Methods for Training Generative Adversarial Networks,13,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Oral),Accepted,8,10,7,8.33,good,ICLR_2017_5_paper.json,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,3,1,41,3,1,78,2,6,0,3,1,2,0,0,0,0,1,2,118,262,1609,18,32,319,309,233,85
0,2018,Neural Speed Reading via Skim-RNN,27,18,4,10,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,8,7.33,good,ICLR_2018_150_paper.json,0,0,2,1,1,2,1,4,0,0,0,8,0,0,2,0,4,1,1,27,4,3,33,9,0,36,3,12,0,11,0,1,2,1,0,2,1,4,45,167,61,8,16,16,14,10,2
0,2017,Stick-Breaking Variational Autoencoders,34,16,3,4,5,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Accept (Poster),Accepted,4,8,8,6.67,good,ICLR_2017_167_paper.json,2,0,3,3,4,4,2,2,0,0,0,2,0,0,0,1,2,1,4,30,4,0,18,9,0,22,1,9,3,3,1,1,1,0,1,1,2,3,36,115,259,20,28,23,26,12,2
0,2020,ES-MAML: Simple Hessian-Free Meta Learning,34,16,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Accept (Poster),Accepted,8,8,1,5.67,good,ICLR_2020_48_paper.json,3,0,11,4,2,2,0,5,1,1,0,2,3,0,3,0,2,0,9,48,6,2,41,16,2,49,2,13,4,9,0,0,1,0,2,1,1,5,51,205,78,0,3,24,37,18,4
0,2018,Variational Message Passing with Structured Inference Networks,19,6,4,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2018_88_paper.json,2,0,3,2,1,2,3,5,3,5,0,5,0,3,0,0,3,1,2,40,4,2,23,12,2,59,3,24,3,7,2,1,0,1,2,0,4,2,47,198,44,8,13,11,5,6,3
1,2018,A New Method of Region Embedding for Text Classification,21,5,8,0,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_322_paper.json,0,0,2,1,4,0,1,2,0,0,0,2,2,0,0,0,0,2,2,18,2,0,6,21,0,34,1,12,2,14,0,1,1,1,2,1,3,5,45,151,52,3,15,25,6,4,3
0,2020,Maxmin Q-learning: Controlling the Estimation Bias of Q-learning,18,5,1,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,3,8,5.67,good,ICLR_2020_13_paper.json,1,1,5,1,1,1,0,2,0,0,0,3,2,0,0,0,0,0,2,19,4,0,25,12,2,70,0,8,2,5,0,0,0,1,3,0,2,0,102,236,85,2,1,14,40,28,9
1,2020,Convergence of Gradient Methods on Bilinear Zero-Sum Games,50,17,4,5,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,6,3,5.67,good,ICLR_2020_262_paper.json,0,2,8,2,3,4,1,0,1,0,0,2,0,0,6,0,2,0,1,32,2,3,16,7,1,117,2,7,3,2,1,0,0,0,1,0,2,0,135,299,27,0,1,7,10,10,1
1,2020,Rényi Fair Inference,54,20,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Accept (Poster),Accepted,8,6,6,6.67,good,ICLR_2020_377_paper.json,1,0,1,1,3,3,1,2,1,0,0,9,0,1,3,0,0,1,5,32,6,2,19,4,2,45,0,14,1,9,1,0,3,1,2,1,1,1,70,182,40,0,3,14,11,15,4
0,2017,Efficient Representation of Low-Dimensional Manifolds using Deep Networks,27,8,5,0,5,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,5,7,6,good,ICLR_2017_182_paper.json,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,10,1,2,17,8,0,100,3,6,2,10,4,0,0,0,0,1,3,1,104,262,39,13,9,2,4,7,2
1,2020,Doubly Robust Bias Reduction in Infinite Horizon Off-Policy Estimation,36,15,5,0,5,7,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,Accept (Spotlight),Accepted,8,8,6,7.33,good,ICLR_2020_570_paper.json,0,0,1,1,4,1,1,5,1,2,0,4,1,0,0,0,3,0,3,27,6,2,19,4,3,47,2,17,2,8,2,2,0,0,0,0,3,2,66,185,48,0,1,14,15,20,4
0,2020,Uncertainty-guided Continual Learning with Bayesian Neural Networks,49,16,9,4,6,4,0,2,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,Accept (Poster),Accepted,6,6,8,6.67,good,ICLR_2020_301_paper.json,2,1,3,5,2,1,0,4,0,1,1,9,1,0,2,1,3,2,3,41,6,1,18,12,1,30,4,18,4,8,0,1,2,1,3,5,1,10,28,153,105,0,4,35,34,36,7
0,2018,Routing Networks: Adaptive Selection of Non-Linear Functions for Multi-Task Learning,35,18,7,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Accept (Poster),Accepted,7,6,8,7,good,ICLR_2018_197_paper.json,3,0,4,0,1,0,1,7,0,0,0,2,0,0,1,0,3,0,0,22,10,3,19,28,0,36,1,18,4,8,1,5,1,2,0,2,3,0,86,227,166,16,32,39,42,39,15
0,2020,BatchEnsemble: an Alternative Approach to Efficient Ensemble and Lifelong Learning,57,13,9,2,6,3,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,6,3,6,5,good,ICLR_2020_306_paper.json,4,0,12,4,1,4,3,8,0,1,0,9,5,1,1,0,1,1,5,60,2,0,52,8,1,59,2,18,2,11,1,1,3,3,2,0,2,6,46,219,222,0,1,36,95,103,46
1,2019,Discovery of Natural Language Concepts in Individual Units of CNNs,42,18,5,4,2,0,2,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2019_279_paper.json,0,0,4,2,1,2,2,5,0,1,0,6,0,0,1,0,2,0,3,29,8,1,28,6,3,78,1,9,1,11,1,0,0,1,6,0,2,2,43,201,10,0,0,4,4,2,3
