motivation,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
1,2019,A Variational Inequality Perspective on Generative Adversarial Networks,51,23,0,11,7,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,8,7,7.67,good,ICLR_2019_405_paper.json,3,1,5,6,3,5,0,2,1,2,0,9,1,2,7,0,4,4,17,72,5,3,27,11,4,81,10,17,6,5,1,5,3,0,1,1,5,4,141,330,255,16,48,71,63,64,19
1,2019,Query-Efficient Hard-label Black-box Attack: An Optimization-based Approach,26,14,6,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2019_438_paper.json,1,1,1,2,2,1,2,7,1,1,0,2,1,1,2,0,0,0,4,29,0,0,16,5,0,49,0,13,0,17,0,1,0,0,3,0,1,3,42,150,263,7,47,75,77,60,16
0,2019,Learning to Describe Scenes with Programs,23,14,0,5,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,4,6,5.33,good,ICLR_2019_363_paper.json,0,0,0,2,3,1,2,3,0,0,0,3,1,1,0,0,1,0,3,20,0,1,4,5,2,45,2,13,4,23,0,0,0,0,0,0,2,1,25,127,44,0,10,16,12,8,4
1,2020,Ridge Regression: Structure Cross-Validation and Sketching,26,7,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Spotlight),Accepted,6,8,,7,good,ICLR_2020_554_paper.json,1,2,3,1,1,2,3,2,0,0,0,3,0,1,1,0,1,0,12,33,7,2,23,5,3,66,7,11,2,5,1,0,0,0,2,2,7,0,141,284,31,1,2,14,6,8,3
0,2020,Universal Approximation with Certified Networks,44,32,8,7,7,6,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,8,6,5.67,good,ICLR_2020_372_paper.json,0,0,0,1,2,1,0,0,0,1,0,5,2,0,3,0,2,0,1,18,2,2,6,2,2,36,0,3,0,1,1,0,0,2,0,0,1,2,46,106,15,0,2,3,6,4,3
1,2017,Maximum Entropy Flow Networks,37,15,10,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,9,7,good,ICLR_2017_16_paper.json,1,1,6,0,2,1,1,7,1,0,1,6,0,0,0,0,0,1,2,30,0,0,30,5,1,50,4,9,2,5,0,2,1,1,1,1,0,1,34,147,25,4,11,4,2,0,0
0,2018,Adaptive Quantization of Neural Networks,19,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_303_paper.json,0,0,2,0,5,1,0,3,0,1,0,1,1,0,1,0,1,1,2,19,1,0,33,4,0,52,1,12,3,8,2,1,1,0,3,0,4,0,50,175,37,5,13,3,12,7,1
0,2018,GANITE: Estimation of Individualized Treatment Effects using Generative Adversarial Nets,26,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_123_paper.json,1,1,3,0,0,1,1,5,0,2,0,7,0,0,2,0,1,1,7,32,0,4,12,13,1,48,1,22,1,9,2,2,2,1,0,2,1,3,37,161,233,12,20,64,65,81,30
0,2020,Composing Task-Agnostic Policies with Deep Reinforcement Learning,34,7,9,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_261_paper.json,1,0,4,8,4,0,1,7,0,1,0,5,0,0,0,0,2,0,3,36,7,2,10,26,3,25,4,19,2,15,3,0,1,2,3,0,4,3,71,200,20,0,1,4,7,10,3
1,2018,An image representation based convolutional network for DNA classification,27,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2018_287_paper.json,4,1,6,1,2,0,3,4,1,2,0,2,0,0,3,0,0,3,5,37,6,0,18,4,2,33,0,10,1,9,0,0,3,1,0,0,2,1,46,136,22,3,5,5,5,4,1
1,2020,Distributionally Robust Neural Networks,64,23,3,2,9,7,0,1,3,2,6,0,1,0,0,0,0,1,0,2,0,0,1,1,Accept (Poster),Accepted,8,3,6,5.67,good,ICLR_2020_393_paper.json,3,1,9,3,3,8,1,9,3,1,1,4,0,1,2,0,3,0,6,58,1,0,19,1,1,47,3,15,2,13,1,2,0,0,0,2,3,2,33,145,434,0,0,46,139,272,115
0,2020,Adaptive Structural Fingerprints for Graph Attention Networks,32,5,2,4,3,5,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_187_paper.json,0,0,1,0,3,2,4,2,0,0,0,8,0,0,0,0,0,0,4,24,2,0,11,3,1,25,3,9,2,10,1,1,0,0,0,0,0,1,53,122,46,0,0,13,25,12,9
1,2018,Synthetic and Natural Noise Both Break Neural Machine Translation,51,29,10,2,1,2,2,0,1,0,6,0,0,0,0,0,0,0,2,1,0,0,1,0,Accept (Oral),Accepted,7,7,8,7.33,good,ICLR_2018_2_paper.json,1,0,11,1,1,3,0,6,0,0,0,2,0,0,1,0,1,0,2,29,0,0,31,2,3,28,5,10,2,8,3,2,1,0,6,0,1,1,33,136,532,50,110,132,136,107,49
1,2018,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck,28,13,6,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,5,6,6,5.67,good,ICLR_2018_275_paper.json,1,0,1,0,3,0,1,5,0,0,0,8,1,0,0,0,0,0,4,24,1,1,20,8,0,42,1,15,2,2,0,1,2,2,2,0,1,0,63,163,25,5,6,7,4,3,0
1,2018,Learning to Count Objects in Natural Images for Visual Question Answering,34,22,0,6,6,1,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,6,4,5.33,good,ICLR_2018_141_paper.json,1,0,6,2,0,0,0,4,1,3,0,4,1,1,1,0,1,1,5,31,1,3,19,5,1,50,0,8,4,2,1,0,1,0,0,0,1,4,79,179,162,26,39,47,29,28,5
0,2020,DeepHoyer: Learning Sparser Neural Network with Differentiable Scale-Invariant Sparsity Measures,57,19,12,1,9,3,0,3,6,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_16_paper.json,2,0,9,5,4,1,1,6,0,2,0,7,2,0,0,1,0,0,2,42,1,2,16,15,2,18,3,16,3,10,0,0,8,1,8,0,1,1,43,148,45,0,3,11,20,18,13
1,2019,Preventing Posterior Collapse with delta-VAEs,42,22,10,2,2,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2019_49_paper.json,3,0,5,1,2,0,2,9,0,0,0,6,0,0,1,0,5,1,6,41,0,0,25,1,2,31,0,17,2,18,4,1,1,0,2,1,4,6,30,145,127,0,21,35,37,32,8
1,2020,Neural tangent kernels transportation mappings and universal approximation,35,13,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,6,8,,7,good,ICLR_2020_504_paper.json,1,1,5,0,2,1,1,3,0,0,0,1,2,0,1,1,1,0,14,34,1,2,20,2,0,13,0,0,1,0,3,1,1,0,0,0,1,1,83,129,26,0,2,5,13,7,6
1,2020,Minimizing FLOPs to Learn Efficient Sparse Representations,86,11,9,0,14,5,1,1,5,1,1,0,2,0,1,0,2,2,0,2,1,0,0,2,Accept (Poster),Accepted,8,3,8,6.33,good,ICLR_2020_179_paper.json,3,0,6,1,5,3,2,7,0,2,0,7,1,0,1,0,0,1,7,46,2,0,34,13,0,37,4,17,0,15,1,1,2,0,2,0,1,4,49,182,21,0,0,0,7,15,7
1,2018,Stochastic Variational Video Prediction,42,30,8,5,9,2,1,2,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2018_126_paper.json,1,0,7,1,1,1,1,6,0,0,2,4,2,0,3,0,1,0,7,37,0,2,31,7,0,37,0,9,2,15,3,1,0,0,0,1,0,4,35,147,413,62,82,95,86,94,26
1,2017,Recurrent Hidden Semi-Markov Model,38,13,12,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2017_119_paper.json,1,0,0,0,0,4,0,6,2,0,0,1,0,2,0,0,0,1,4,21,1,1,17,9,1,59,2,15,2,10,0,0,3,0,4,0,2,1,56,183,14,8,9,5,7,3,0
0,2018,Ensemble Adversarial Training: Attacks and Defenses,49,35,18,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_159_paper.json,1,1,8,3,1,11,3,6,3,5,0,3,9,0,5,0,2,1,4,66,1,2,50,12,0,69,6,12,5,18,2,2,1,2,2,1,4,1,43,233,1935,0,0,230,349,319,102
1,2018,Stochastic Activation Pruning for Robust Adversarial Defense,22,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2018_121_paper.json,1,0,4,1,0,1,0,3,0,0,0,10,1,0,1,1,0,0,2,25,4,0,18,6,1,36,2,13,1,6,1,1,1,0,0,1,4,0,63,158,425,47,94,109,103,77,23
1,2019,Scalable Unbalanced Optimal Transport using Generative Adversarial Networks,39,19,0,0,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2019_253_paper.json,1,0,3,3,4,3,3,3,2,1,0,6,2,1,2,0,2,0,14,50,7,3,27,7,0,28,1,9,0,2,0,1,0,1,0,0,0,0,90,176,36,0,7,11,8,12,8
1,2019,Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision,33,12,10,1,11,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,5,7,7,6.33,good,ICLR_2019_221_paper.json,1,0,2,4,4,3,1,5,1,0,0,4,0,0,2,0,0,2,3,32,0,2,15,15,0,50,1,22,0,11,0,1,2,0,4,0,2,1,42,168,24,0,0,14,4,6,3
0,2020,Contrastive Representation Distillation,41,16,14,0,4,1,1,0,13,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,Accept (Poster),Accepted,3,6,6,5,good,ICLR_2020_367_paper.json,1,0,1,0,0,3,4,5,0,0,0,7,0,0,2,0,4,0,2,29,0,0,21,6,0,44,3,21,4,13,0,0,1,2,3,3,0,0,35,156,514,1,5,90,206,238,89
0,2017,Variational Recurrent Adversarial Deep Domain Adaptation,29,8,3,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,Accept (Poster),Accepted,6,5,6,5.67,good,ICLR_2017_41_paper.json,3,0,1,1,1,1,3,3,0,0,0,3,1,1,0,0,0,1,1,20,4,1,17,4,2,42,1,16,1,9,1,0,3,3,2,0,4,1,26,137,76,7,10,19,18,15,8
1,2019,Robust Conditional Generative Adversarial Networks,43,17,5,5,6,3,0,11,9,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2019_120_paper.json,2,0,2,2,2,3,2,6,2,2,1,5,1,0,0,1,1,0,3,35,1,1,25,13,0,66,2,20,3,23,0,2,0,2,6,0,3,1,75,243,19,1,7,9,1,1,1
1,2020,NAS-Bench-201: Extending the Scope of Reproducible Neural Architecture Search,38,23,3,11,4,3,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Accept (Spotlight),Accepted,8,8,8,8,good,ICLR_2020_589_paper.json,0,0,6,4,3,4,5,5,0,1,0,3,0,1,1,0,0,0,4,37,3,0,26,9,0,29,2,15,2,8,10,1,1,3,3,0,6,2,39,159,341,1,5,79,125,149,44
1,2019,Smoothing the Geometry of Probabilistic Box Embeddings,25,10,2,3,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,Accept (Oral),Accepted,7,8,8,7.67,good,ICLR_2019_9_paper.json,3,0,0,0,1,2,2,3,1,0,0,4,0,0,0,0,1,0,5,22,4,0,15,2,1,31,2,8,3,8,0,1,0,0,0,1,1,2,49,128,57,0,6,16,14,22,4
1,2020,Understanding l4-based Dictionary Learning: Interpretation Stability and Robustness,61,15,8,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,Accept (Poster),Accepted,8,6,,7,good,ICLR_2020_327_paper.json,1,1,3,0,4,4,0,2,0,0,0,3,2,0,3,0,0,0,4,27,4,0,16,6,1,30,1,9,1,5,3,0,0,0,0,0,2,1,77,156,12,0,1,3,3,7,2
1,2020,Efficient Probabilistic Logic Reasoning with Graph Neural Networks,39,8,8,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Accept (Poster),Accepted,3,3,1,2.33,poor,ICLR_2020_425_paper.json,1,0,4,0,6,1,3,6,0,0,0,4,0,0,4,0,2,0,1,32,8,3,47,12,3,70,2,24,4,5,0,4,3,2,6,2,5,2,80,282,63,0,1,18,24,27,7
1,2019,Optimal Control Via Neural Networks: A Convex Approach,34,7,3,0,2,4,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,Accept (Poster),Accepted,6,8,7,7,good,ICLR_2019_144_paper.json,0,0,10,2,2,1,3,3,0,5,0,1,1,1,0,0,1,1,6,37,3,3,23,8,3,52,3,23,4,10,0,1,2,0,3,0,2,2,72,214,106,0,9,32,40,29,8
1,2017,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,24,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,Accept (Poster),Accepted,8,7,4,6.33,good,ICLR_2017_27_paper.json,0,1,4,2,2,0,1,3,0,0,1,0,0,0,0,0,1,0,5,20,1,2,17,3,0,26,0,1,0,3,1,0,1,0,0,1,2,0,25,83,53,8,9,12,6,10,6
1,2020,Measuring the Reliability of Reinforcement Learning Algorithms,33,9,8,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Accept (Spotlight),Accepted,8,8,6,7.33,good,ICLR_2020_600_paper.json,1,0,1,3,1,1,0,8,0,0,0,0,0,0,2,0,0,2,3,22,3,4,24,6,0,57,5,16,2,1,1,0,0,0,2,1,1,0,40,163,45,0,2,9,16,22,6
1,2020,Conservative Uncertainty Estimation By Fitting  Prior Networks,51,19,5,5,12,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_522_paper.json,2,0,16,3,1,2,5,5,0,0,0,2,0,0,1,0,0,1,3,41,4,2,25,6,0,92,1,14,2,8,0,0,0,0,2,0,5,1,79,241,27,0,1,3,18,6,6
1,2020,Bayesian Meta Sampling for Fast Uncertainty Adaptation,57,24,6,9,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,3,5,good,ICLR_2020_270_paper.json,2,0,1,7,4,4,16,10,1,0,0,9,0,0,2,0,1,1,4,62,6,4,19,25,3,47,4,22,1,17,0,0,1,0,4,1,2,2,70,228,9,0,0,1,5,3,3
1,2019,DeepOBS: A Deep Learning Optimizer Benchmark Suite,54,20,10,6,6,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2019_427_paper.json,2,0,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,13,1,1,42,9,3,23,1,9,2,2,7,0,0,0,1,1,0,1,30,133,47,0,12,10,14,12,3
1,2017,Transfer of View-manifold Learning to Similarity Perception of Novel Objects,35,16,3,0,1,1,0,2,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,Accept (Poster),Accepted,5,6,7,6,good,ICLR_2017_31_paper.json,0,0,3,1,2,2,0,7,0,0,0,1,0,0,1,0,1,0,2,20,3,3,20,11,2,42,2,12,2,9,2,2,3,3,2,0,5,2,30,155,10,2,5,2,0,0,0
1,2019,Learning to Navigate the Web,15,6,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,7,7,7.33,good,ICLR_2019_54_paper.json,0,0,0,1,0,0,2,2,3,1,0,2,0,0,2,0,1,1,3,18,2,0,14,29,1,54,2,18,3,8,2,1,2,2,1,0,2,2,40,183,21,0,3,2,8,8,8
1,2018,Distributed Fine-tuning of Language Models on Private Data,26,11,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,4,4,4.33,good,ICLR_2018_227_paper.json,1,0,0,1,1,3,0,8,0,1,0,3,1,0,1,0,1,0,3,24,1,0,23,6,0,37,1,8,2,9,0,0,1,0,1,0,3,3,47,142,13,1,1,6,4,3,1
1,2018,Noisy Networks For Exploration,44,16,9,0,7,8,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,Accept (Poster),Accepted,5,7,6,6,good,ICLR_2018_165_paper.json,2,0,3,2,0,1,0,3,0,0,1,4,0,0,0,0,3,2,4,25,5,1,17,18,0,28,2,12,1,1,2,0,4,0,1,0,2,3,73,170,633,88,154,148,133,111,31
1,2019,Learning to Make Analogies by Contrasting Abstract Relational Structure,39,9,3,0,3,3,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,1,1,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2019_376_paper.json,1,1,9,1,1,2,0,0,0,1,0,2,0,0,0,0,1,0,0,19,1,0,40,7,0,47,5,8,3,10,0,0,2,1,0,0,3,4,34,165,63,0,12,24,14,15,7
0,2019,Generating Multiple Objects at Spatially Distinct Locations,29,18,3,2,8,2,0,2,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,7,8,7,good,ICLR_2019_148_paper.json,0,0,2,0,0,0,1,9,1,1,1,8,0,0,0,0,2,1,2,28,0,2,17,15,2,54,1,27,6,16,0,5,1,1,4,0,5,2,42,200,85,1,14,26,25,20,8
1,2020,Why Not to Use Zero Imputation? Correcting Sparsity Bias in Training Neural Networks,58,16,3,4,12,8,2,1,1,0,0,0,0,0,0,1,2,2,0,1,1,0,0,4,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_400_paper.json,3,0,6,0,1,6,4,10,2,0,0,3,3,1,4,0,0,1,6,50,1,3,52,3,1,55,5,34,1,17,0,2,3,1,4,2,3,13,63,263,13,0,1,4,4,4,2
1,2019,Learning Robust Representations by Projecting Superficial Statistics Out,49,16,13,0,4,5,0,4,1,0,0,0,2,0,0,1,1,0,0,5,0,0,0,2,Accept (Oral),Accepted,7,7,9,7.67,good,ICLR_2019_19_paper.json,1,1,2,0,3,1,4,7,1,0,0,0,0,0,3,0,1,0,4,28,3,1,17,3,3,45,0,20,1,4,2,0,1,2,1,3,3,1,29,139,137,0,16,32,56,35,13
1,2018,Do GANs learn the distribution? Some Theory and Empirics,16,9,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2018_200_paper.json,0,0,7,0,0,1,1,2,0,0,0,2,0,2,4,0,1,0,1,21,2,1,34,7,1,57,1,10,0,3,2,2,0,2,1,0,1,2,63,189,130,24,34,31,26,17,8
1,2019,Equi-normalization of Neural Networks,41,10,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,5,6.33,good,ICLR_2019_401_paper.json,1,0,6,1,2,5,2,4,0,1,0,8,1,0,0,0,0,1,6,38,0,2,20,9,1,78,5,19,4,11,1,1,0,1,1,1,3,3,72,232,7,0,2,2,1,3,1
1,2017,Towards Principled Methods for Training Generative Adversarial Networks,13,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Oral),Accepted,8,10,7,8.33,good,ICLR_2017_5_paper.json,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,3,1,41,3,1,78,2,6,0,3,1,2,0,0,0,0,1,2,118,262,1609,18,32,319,309,233,85
1,2018,Neural Speed Reading via Skim-RNN,27,18,4,10,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,8,7.33,good,ICLR_2018_150_paper.json,0,0,2,1,1,2,1,4,0,0,0,8,0,0,2,0,4,1,1,27,4,3,33,9,0,36,3,12,0,11,0,1,2,1,0,2,1,4,45,167,61,8,16,16,14,10,2
1,2020,Learning-Augmented Data Stream Algorithms,31,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,8,3,6.33,good,ICLR_2020_437_paper.json,1,1,2,3,0,0,2,7,0,0,0,7,1,0,3,0,2,0,8,37,5,0,13,17,2,87,3,22,5,16,0,3,0,0,1,0,2,0,111,287,28,0,1,4,9,15,1
